code,Species,Type,Qin,full_rcp26,full_rcp45,full_rcp85,buffer_rcp26,buffer_rcp45,buffer_rcp85,stable_rcp26,stable_rcp45,stable_rcp85
sp99,Acer fulvescens,wide-ranged,VU,VU,VU,EN,VU,VU,EN,VU,VU,EN
sp100,Acer gracilifolium,narrow-ranged,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp101,Acer griseum,wide-ranged,VU,VU,VU,EN,VU,VU,EN,VU,EN,EN
sp103,Acer hilaense,narrow-ranged,CR,CR,CR,CR,CR,CR,CR,CR,CR,CR
sp105,Acer kungshanense,wide-ranged,EN,CR,CR,EN,CR,CR,EN,CR,CR,EN
sp106,Acer kwangnanense,wide-ranged,VU,EN,EN,VU,EN,EN,VU,EN,EN,VU
sp107,Acer kweilinense,wide-ranged,LC,CR,CR,EN,CR,CR,EN,CR,CR,EN
sp111,Acer laxiflorum,wide-ranged,NT,NT,NT,VU,NT,VU,VU,VU,VU,VU
sp112,Acer leipoense,wide-ranged,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp113,Acer linganense,wide-ranged,VU,EN,CR,CR,EN,CR,CR,EN,CR,CR
sp114,Acer longipes,wide-ranged,LC,EN,CR,CR,CR,CR,CR,CR,CR,CR
sp115,Acer lucidum,wide-ranged,LC,NT,VU,EN,NT,VU,EN,VU,EN,EN
sp116,Acer lungshengense,wide-ranged,LC,NT,EN,CR,NT,EN,CR,CR,CR,EX
sp118,Acer maximowiczii,wide-ranged,LC,NT,NT,VU,NT,VU,VU,VU,EN,EN
sp119,Acer metcalfii,wide-ranged,LC,VU,EN,EN,VU,EN,EN,VU,EN,EN
sp120,Acer miaoshanicum,wide-ranged,LC,CR,CR,CR,CR,CR,CR,CR,CR,CR
sp121,Acer miaotaiense,wide-ranged,VU,VU,VU,EN,VU,VU,EN,VU,VU,EN
sp122,Acer morrisonense,wide-ranged,VU,VU,VU,VU,VU,VU,VU,VU,VU,VU
sp126,Acer oligocarpum,wide-ranged,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp127,Acer oliverianum,wide-ranged,LC,NT,NT,VU,NT,NT,VU,NT,VU,EN
sp129,Acer pauciflorum,wide-ranged,VU,VU,VU,VU,VU,VU,VU,VU,VU,VU
sp130,Acer paxii,wide-ranged,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
sp133,Acer pentaphyllum,wide-ranged,VU,VU,VU,EN,VU,VU,EN,VU,VU,EN
sp138,Acer pilosum,narrow-ranged,VU,VU,VU,VU,VU,VU,VU,VU,VU,VU
sp141,Acer poliophyllum,narrow-ranged,VU,EX,EX,EX,EX,EX,EX,EX,EX,EX
sp143,Acer pubinerve,wide-ranged,LC,VU,EN,CR,VU,EN,CR,VU,EN,CR
sp144,Acer pubipetiolatum,wide-ranged,VU,VU,VU,VU,VU,VU,VU,VU,VU,VU
sp146,Acer shenkanense,wide-ranged,LC,VU,VU,EN,VU,VU,EN,VU,VU,EN
sp148,Acer sinense,wide-ranged,LC,NT,NT,NT,NT,NT,NT,NT,NT,VU
sp149,Acer sino-oblongum,wide-ranged,EN,CR,CR,EN,CR,CR,EN,CR,CR,CR
sp150,Acer sinopurpurascens,wide-ranged,LC,CR,CR,EX,CR,CR,EX,CR,CR,EX
sp155,Acer sutchuenense,wide-ranged,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp156,Acer sycopseoides,wide-ranged,LC,CR,CR,CR,CR,CR,CR,CR,CR,CR
sp161,Acer tenellum,narrow-ranged,CR,EX,EX,EX,EX,EX,EX,EX,EX,EX
sp164,Acer tibetense,wide-ranged,EN,EX,EX,EX,EX,EX,EX,EX,EX,EX
sp168,Acer tsinglingense,wide-ranged,VU,VU,VU,EN,VU,VU,EN,EN,EN,EN
sp169,Acer tutcheri,wide-ranged,VU,VU,VU,VU,VU,VU,VU,VU,VU,VU
sp171,Acer wangchii,wide-ranged,VU,VU,VU,VU,VU,VU,VU,VU,VU,VU
sp174,Acer yui,narrow-ranged,EN,EX,EX,EX,EX,EX,EX,EX,EX,EX
sp175,Acidosasa chienouensis,wide-ranged,LC,VU,VU,VU,VU,VU,VU,CR,CR,CR
