code,Species,Type,Qin,full_rcp26,full_rcp45,full_rcp85,buffer_rcp26,buffer_rcp45,buffer_rcp85,stable_rcp26,stable_rcp45,stable_rcp85
sp1792,Castanopsis eyrei,wide-ranged,LC,VU,EN,EN,VU,EN,EN,VU,EN,EN
sp1794,Castanopsis fargesii,wide-ranged,LC,NT,VU,EN,NT,VU,EN,NT,VU,EN
sp1798,Castanopsis fordii,wide-ranged,LC,VU,EN,EN,VU,EN,EN,VU,EN,EN
sp1799,Castanopsis globigemmata,narrow-ranged,CR,CR,EX,EX,CR,EX,EX,EX,EX,CR
sp1800,Castanopsis hainanensis,wide-ranged,VU,VU,VU,VU,VU,VU,VU,VU,VU,VU
sp1801,Castanopsis hupehensis,wide-ranged,LC,EX,EX,CR,EX,EX,CR,EX,EX,CR
sp1804,Castanopsis jianfenglingensis,narrow-ranged,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
sp1807,Castanopsis kweichowensis,wide-ranged,NT,VU,EN,EN,VU,EN,EN,EN,EN,CR
sp1809,Castanopsis ledongensis,narrow-ranged,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp1811,Castanopsis longzhouica,narrow-ranged,CR,CR,CR,CR,CR,CR,CR,CR,CR,CR
sp1812,Castanopsis megaphylla,wide-ranged,NT,VU,EN,NT,EN,CR,NT,CR,CR,NT
sp1814,Castanopsis nigrescens,wide-ranged,LC,LC,LC,NT,LC,LC,NT,NT,NT,NT
sp1815,Castanopsis oblonga,narrow-ranged,CR,CR,CR,CR,CR,CR,CR,CR,CR,CR
sp1816,Castanopsis orthacantha,wide-ranged,LC,CR,CR,EN,CR,CR,EN,CR,CR,EN
sp1817,Castanopsis platyacantha,wide-ranged,LC,LC,NT,LC,LC,NT,NT,EN,EN,EN
sp1818,Castanopsis remotidenticulata,wide-ranged,DD,EN,EN,LC,EN,EN,LC,EN,EN,NT
sp1820,Castanopsis sclerophylla,wide-ranged,LC,VU,EN,EN,VU,EN,EN,VU,EN,EN
sp1823,Castanopsis tibetana,wide-ranged,LC,EN,EN,CR,EN,EN,CR,EN,EN,CR
sp1826,Castanopsis uraiana,wide-ranged,LC,EN,CR,CR,EN,CR,CR,EN,CR,CR
sp1828,Catalpa bungei,wide-ranged,LC,NT,NT,NT,NT,NT,NT,NT,NT,VU
sp1829,Catalpa fargesii,wide-ranged,LC,NT,VU,VU,NT,VU,VU,VU,VU,EN
sp1831,Catalpa tibetica,wide-ranged,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp1832,Cathaya argyrophylla,wide-ranged,EN,EN,CR,CR,EN,CR,CR,EN,CR,CR
sp1835,Cayratia cordifolia,narrow-ranged,LC,LC,CR,CR,LC,CR,CR,CR,EX,EN
sp1839,Cayratia oligocarpa,wide-ranged,LC,NT,VU,NT,NT,VU,VU,EN,EN,EN
sp1844,Celastrus angulatus,wide-ranged,LC,NT,NT,VU,NT,NT,VU,VU,VU,EN
sp1845,Celastrus cuneatus,wide-ranged,DD,EN,CR,CR,EN,CR,CR,CR,CR,CR
sp1847,Celastrus gemmatus,wide-ranged,LC,NT,NT,VU,NT,NT,EN,NT,VU,EN
sp1851,Celastrus hypoleucoides,wide-ranged,LC,EN,EN,CR,EN,EN,CR,EN,CR,CR
sp1852,Celastrus hypoleucus,wide-ranged,LC,VU,VU,EN,VU,VU,EN,VU,EN,EN
sp1855,Celastrus oblanceifolius,wide-ranged,DD,NT,NT,VU,NT,NT,VU,NT,VU,VU
sp1859,Celastrus rosthornianus,wide-ranged,LC,NT,VU,EN,NT,VU,EN,VU,VU,EN
sp1861,Celastrus rugosus,wide-ranged,DD,NT,NT,NT,NT,NT,VU,VU,VU,VU
sp1865,Celastrus vaniotii,wide-ranged,LC,VU,VU,VU,VU,VU,VU,VU,VU,EN
sp1866,Celastrus virens,wide-ranged,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp1869,Celtis cerasifera,wide-ranged,NT,VU,VU,VU,VU,VU,VU,EN,EN,EN
sp1870,Celtis chekiangensis,wide-ranged,EN,CR,CR,CR,CR,CR,CR,CR,CR,CR
sp1871,Celtis julianae,wide-ranged,LC,VU,VU,EN,VU,VU,EN,VU,VU,EN
sp1878,Celtis vandervoetiana,wide-ranged,LC,NT,VU,EN,NT,VU,EN,NT,VU,EN
sp1889,Cephalotaxus latifolia,wide-ranged,CR,CR,CR,CR,CR,CR,CR,CR,CR,CR
sp1891,Cephalotaxus oliveri,wide-ranged,VU,VU,VU,VU,VU,VU,VU,VU,VU,VU
sp1892,Cephalotaxus sinensis,wide-ranged,LC,NT,NT,VU,NT,NT,VU,NT,VU,EN
sp1894,Cerasus caudata,wide-ranged,DD,NT,VU,CR,NT,VU,CR,VU,VU,CR
sp1896,Cerasus clarofolia,wide-ranged,LC,VU,VU,EN,VU,VU,EN,VU,EN,EN
sp1897,Cerasus conadenia,wide-ranged,LC,NT,NT,VU,NT,NT,VU,NT,VU,VU
sp1898,Cerasus conradinae,wide-ranged,LC,VU,EN,EN,EN,EN,EN,EN,EN,EN
sp1899,Cerasus crataegifolia,wide-ranged,LC,NT,NT,VU,NT,NT,VU,VU,VU,VU
sp1900,Cerasus cyclamina,wide-ranged,LC,NT,VU,EN,NT,VU,EN,VU,EN,CR
sp1902,Cerasus dielsiana,wide-ranged,LC,EN,EN,CR,EN,EN,CR,EN,EN,CR
sp1904,Cerasus discoidea,wide-ranged,NT,EN,EN,EN,EN,EN,EN,EN,CR,CR
sp1905,Cerasus dolichadenia,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,EN,EN,NT
sp1908,Cerasus henryi,wide-ranged,LC,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp1909,Cerasus humilis,wide-ranged,LC,VU,EN,EN,VU,EN,EN,EN,EN,EN
sp1912,Cerasus mugus,wide-ranged,DD,VU,VU,VU,VU,VU,VU,VU,VU,VU
sp1913,Cerasus patentipila,wide-ranged,DD,VU,VU,EN,VU,VU,EN,VU,VU,EN
sp1914,Cerasus pleiocerasus,wide-ranged,DD,VU,NT,VU,VU,NT,VU,VU,VU,VU
sp1915,Cerasus pogonostyla,wide-ranged,LC,NT,VU,EN,NT,VU,EN,VU,EN,EN
sp1916,Cerasus polytricha,wide-ranged,LC,NT,NT,EN,NT,NT,EN,NT,VU,EN
sp1917,Cerasus pseudocerasus,wide-ranged,LC,NT,NT,VU,NT,NT,VU,VU,VU,EN
sp1918,Cerasus schneideriana,wide-ranged,LC,EN,EN,CR,EN,EN,CR,EN,EN,CR
sp1919,Cerasus serrula,wide-ranged,LC,LC,NT,NT,NT,NT,NT,NT,NT,NT
sp1922,Cerasus setulosa,wide-ranged,LC,VU,VU,EN,VU,VU,EN,VU,EN,EN
sp1923,Cerasus stipulacea,wide-ranged,LC,NT,NT,VU,NT,NT,VU,NT,VU,VU
sp1924,Cerasus szechuanica,wide-ranged,LC,NT,VU,EN,NT,VU,EN,VU,EN,EN
sp1925,Cerasus tatsienensis,wide-ranged,LC,NT,NT,EN,NT,NT,EN,VU,VU,EN
sp1929,Cerasus trichostoma,wide-ranged,LC,LC,NT,NT,NT,NT,NT,NT,NT,NT
sp1930,Cerasus yunnanensis,wide-ranged,LC,NT,NT,VU,NT,NT,VU,VU,VU,VU
sp1932,Ceratostigma minus,wide-ranged,LC,NT,NT,NT,NT,NT,NT,NT,NT,NT
sp1934,Ceratostigma willmottianum,wide-ranged,LC,LC,LC,NT,LC,LC,NT,NT,NT,NT
sp1938,Cercis chingii,wide-ranged,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp1939,Cercis chuniana,wide-ranged,LC,LC,NT,VU,LC,NT,VU,NT,NT,EN
sp1940,Cercis glabra,wide-ranged,DD,VU,VU,EN,VU,VU,EN,VU,EN,EN
sp1942,Ceriscoides howii,narrow-ranged,VU,VU,VU,VU,VU,VU,VU,VU,VU,VU
sp1943,Chaenomeles cathayensis,wide-ranged,LC,NT,VU,EN,NT,VU,EN,VU,EN,EN
sp1944,Chaenomeles sinensis,wide-ranged,LC,NT,NT,VU,NT,NT,VU,VU,VU,EN
sp1945,Chaenomeles thibetica,wide-ranged,NT,NT,NT,VU,NT,NT,VU,EN,EN,EN
sp1947,Chamaecyparis formosensis,wide-ranged,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp1954,Chelonopsis albiflora,wide-ranged,LC,LC,LC,NT,LC,LC,NT,NT,NT,VU
sp1957,Chelonopsis giraldii,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp1958,Chelonopsis lichiangensis,narrow-ranged,EN,EX,EX,EX,EX,EX,EX,EX,EX,EX
sp1959,Chelonopsis mollissima,wide-ranged,LC,CR,CR,CR,CR,CR,CR,CR,CR,CR
sp1963,Chelonopsis rosea,wide-ranged,NT,NT,NT,NT,NT,NT,NT,NT,NT,VU
sp1965,Chelonopsis souliei,wide-ranged,LC,LC,LC,LC,LC,LC,LC,VU,VU,NT
sp1966,Chengiopanax fargesii,wide-ranged,LC,EX,EX,EX,EX,EX,EX,EX,EX,EX
sp1969,Chesneya polystichoides,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,VU
sp1970,Chesneya spinosa,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp1972,Chesniella mongolica,wide-ranged,LC,NT,NT,VU,NT,NT,VU,VU,VU,EN
sp1973,Chieniodendron hainanense,wide-ranged,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp1974,Chimonanthus campanulatus,wide-ranged,LC,EX,EX,CR,EX,EX,CR,EX,EX,CR
sp1976,Chimonanthus nitens,wide-ranged,LC,VU,VU,EN,VU,EN,EN,VU,EN,EN
sp1978,Chimonanthus salicifolius,wide-ranged,NT,EN,EN,CR,EN,EN,CR,EN,CR,CR
sp1980,Chimonobambusa angustifolia,wide-ranged,LC,NT,VU,EN,NT,VU,EN,VU,EN,EN
sp1982,Chimonobambusa communis,wide-ranged,LC,CR,CR,EX,CR,CR,EX,CR,CR,EX
sp1983,Chimonobambusa convoluta,narrow-ranged,LC,VU,EX,EX,VU,EX,EX,EX,EX,EN
sp1984,Chimonobambusa hejiangensis,wide-ranged,VU,EX,EX,EX,EX,EX,EX,EX,EX,EX
sp1985,Chimonobambusa hirtinoda,wide-ranged,LC,EX,EX,LC,EX,EX,LC,EX,EX,VU
sp1987,Chimonobambusa macrophylla,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,VU
sp1990,Chimonobambusa metuoensis,wide-ranged,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp1992,Chimonobambusa opienensis,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,VU
sp1995,Chimonobambusa purpurea,wide-ranged,NT,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp2000,Chimonocalamus delicatus,narrow-ranged,VU,VU,VU,VU,VU,VU,VU,VU,VU,VU
sp2001,Chimonocalamus dumosus,narrow-ranged,LC,CR,EX,EX,CR,EX,EX,EX,EX,EX
sp2002,Chimonocalamus fimbriatus,wide-ranged,LC,VU,VU,LC,VU,VU,LC,EN,EN,VU
sp2004,Chimonocalamus longiligulatus,narrow-ranged,VU,VU,EX,EX,EN,EX,EX,EX,EX,CR
sp2005,Chimonocalamus montanus,narrow-ranged,VU,EX,EX,EX,EX,EX,EX,EX,EX,EX
sp2006,Chimonocalamus pallens,narrow-ranged,VU,VU,VU,EN,VU,VU,EN,VU,CR,VU
sp2008,Chionanthus guangxiensis,narrow-ranged,LC,LC,LC,LC,LC,CR,EN,EX,EN,NT
sp2009,Chionanthus hainanensis,wide-ranged,LC,LC,LC,LC,LC,NT,VU,NT,NT,EN
sp2024,Chonemorpha parviflora,wide-ranged,VU,EN,EN,VU,EN,EN,VU,CR,CR,VU
sp2025,Chonemorpha splendens,wide-ranged,VU,VU,VU,VU,VU,VU,VU,VU,VU,VU
sp2030,Chunia bucklandioides,wide-ranged,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp2031,Chuniophoenix hainanensis,wide-ranged,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp2033,Cinnamomum appelianum,wide-ranged,LC,NT,NT,NT,NT,NT,NT,NT,NT,NT
sp2034,Cinnamomum austrosinense,wide-ranged,LC,VU,EN,CR,VU,EN,CR,EN,EN,CR
sp2037,Cinnamomum bodinieri,wide-ranged,LC,VU,EN,EN,VU,EN,EN,VU,EN,EN
sp2040,Cinnamomum chartophyllum,wide-ranged,EN,CR,CR,EN,CR,CR,EN,CR,CR,EN
sp2041,Cinnamomum contractum,wide-ranged,NT,NT,NT,NT,NT,NT,NT,NT,NT,VU
sp2048,Cinnamomum jensenianum,wide-ranged,LC,VU,EN,CR,VU,EN,CR,VU,EN,CR
sp2050,Cinnamomum kwangtungense,wide-ranged,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp2052,Cinnamomum longepaniculatum,wide-ranged,NT,VU,EN,EN,VU,EN,EN,EN,EN,CR
sp2053,Cinnamomum longipetiolatum,wide-ranged,NT,EN,VU,NT,EN,VU,NT,CR,EN,NT
sp2054,Cinnamomum mairei,wide-ranged,LC,LC,NT,NT,NT,NT,NT,NT,NT,VU
sp2056,Cinnamomum migao,wide-ranged,NT,NT,NT,VU,NT,NT,VU,VU,VU,EN
sp2057,Cinnamomum mollifolium,wide-ranged,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp2058,Cinnamomum osmophloeum,narrow-ranged,VU,VU,VU,VU,VU,VU,VU,VU,VU,VU
sp2061,Cinnamomum pingbienense,wide-ranged,LC,EX,EX,LC,EX,EX,NT,EX,EX,VU
sp2062,Cinnamomum pittosporoides,wide-ranged,NT,CR,CR,EN,CR,CR,EN,CR,CR,EN
sp2063,Cinnamomum platyphyllum,wide-ranged,VU,VU,EN,CR,VU,EN,CR,EN,EN,CR
sp2064,Cinnamomum reticulatum,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp2065,Cinnamomum rigidissimum,wide-ranged,NT,VU,VU,NT,VU,VU,NT,VU,VU,NT
sp2067,Cinnamomum saxatile,wide-ranged,LC,CR,CR,LC,CR,CR,LC,CR,CR,NT
sp2068,Cinnamomum septentrionale,wide-ranged,LC,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp2073,Cinnamomum tsangii,wide-ranged,LC,NT,VU,EN,NT,VU,EN,VU,VU,EN
sp2074,Cinnamomum tsoi,narrow-ranged,NT,CR,EX,EX,CR,EX,EX,EX,EX,EX
sp2075,Cinnamomum validinerve,wide-ranged,NT,CR,CR,VU,CR,CR,VU,CR,CR,VU
sp2076,Cinnamomum wilsonii,wide-ranged,LC,VU,VU,EN,VU,VU,EN,VU,VU,EN
sp2094,Cladrastis delavayi,wide-ranged,LC,NT,NT,VU,NT,NT,VU,NT,VU,EN
sp2095,Cladrastis parvifolia,narrow-ranged,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp2097,Cladrastis scandens,wide-ranged,VU,CR,CR,VU,CR,CR,VU,CR,CR,VU
sp2098,Cladrastis wilsonii,wide-ranged,LC,NT,VU,EN,NT,VU,EN,VU,EN,EN
sp2106,Clausena emarginata,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp2110,Clausena odorata,narrow-ranged,NT,EX,EX,EX,EX,EX,EX,EX,EX,EX
sp2111,Clausena vestita,wide-ranged,NT,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp2112,Clausena yunnanensis,wide-ranged,LC,NT,VU,LC,EN,EN,LC,EN,EN,NT
sp2125,Clematis akebioides,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp2126,Clematis akoensis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,LC,NT,LC
sp2130,Clematis baominiana,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,EN,EX,CR
sp2135,Clematis chekiangensis,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp2139,Clematis chingii,wide-ranged,LC,EN,CR,NT,EN,CR,NT,CR,CR,VU
sp2140,Clematis chiupehensis,wide-ranged,LC,VU,VU,NT,VU,VU,NT,EN,EN,EN
sp2141,Clematis chrysocoma,wide-ranged,LC,LC,LC,NT,LC,LC,NT,NT,NT,NT
sp2145,Clematis courtoisii,wide-ranged,LC,CR,CR,EX,CR,CR,EX,CR,CR,EX
sp2147,Clematis crassipes,wide-ranged,LC,EN,EN,LC,EN,EN,VU,EN,EN,VU
sp2152,Clematis dilatata,wide-ranged,NT,NT,VU,CR,NT,VU,CR,VU,EN,CR
sp2161,Clematis gracilifolia,wide-ranged,VU,VU,VU,VU,VU,VU,VU,VU,VU,VU
sp2164,Clematis grandidentata,wide-ranged,NT,NT,VU,VU,NT,VU,EN,VU,VU,EN
sp2166,Clematis gratopsis,wide-ranged,LC,NT,NT,LC,NT,NT,NT,NT,NT,NT
sp2168,Clematis hainanensis,wide-ranged,DD,VU,NT,LC,VU,NT,VU,VU,NT,VU
sp2169,Clematis hancockiana,wide-ranged,NT,CR,CR,CR,CR,CR,CR,CR,CR,CR
sp2170,Clematis henryi,wide-ranged,LC,NT,NT,NT,NT,NT,NT,NT,NT,NT
sp2171,Clematis iliensis,wide-ranged,LC,CR,CR,EX,CR,CR,EX,CR,CR,EX
sp2174,Clematis jialasaensis,wide-ranged,DD,LC,LC,NT,LC,LC,NT,NT,NT,VU
sp2175,Clematis jingdungensis,narrow-ranged,LC,EX,EX,EX,EX,EX,EX,EX,EX,EX
sp2176,Clematis jinzhaiensis,narrow-ranged,DD,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp2177,Clematis kirilowii,wide-ranged,LC,EN,EN,VU,EN,EN,EN,EN,EN,EN
sp2180,Clematis kweichowensis,wide-ranged,LC,EN,EN,CR,EN,EN,CR,EN,CR,CR
sp2183,Clematis laxistrigosa,narrow-ranged,DD,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp2185,Clematis longistyla,narrow-ranged,LC,EX,CR,EX,EX,CR,EX,EX,EX,EX
sp2188,Clematis mashanensis,narrow-ranged,DD,LC,EX,EX,NT,EX,EX,EX,EX,CR
sp2190,Clematis metuoensis,wide-ranged,LC,LC,LC,EN,LC,LC,EN,VU,VU,EN
sp2196,Clematis morii,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp2200,Clematis nukiangensis,wide-ranged,LC,VU,EN,EN,VU,EN,EN,VU,EN,EN
sp2201,Clematis obscura,wide-ranged,LC,VU,VU,EN,VU,VU,EN,VU,VU,EN
sp2202,Clematis parviloba,wide-ranged,LC,VU,VU,EN,VU,VU,EN,VU,VU,EN
sp2204,Clematis pashanensis,wide-ranged,LC,VU,NT,EN,VU,NT,EN,EN,EN,EN
sp2205,Clematis peterae,wide-ranged,LC,NT,NT,VU,NT,NT,VU,NT,VU,VU
sp2206,Clematis pianmaensis,narrow-ranged,DD,LC,LC,LC,LC,LC,LC,EN,VU,EN
sp2207,Clematis pinnata,wide-ranged,LC,LC,LC,NT,LC,LC,NT,NT,VU,EN
sp2208,Clematis potaninii,wide-ranged,LC,NT,NT,VU,NT,NT,VU,NT,NT,VU
sp2209,Clematis pseudootophora,narrow-ranged,LC,LC,LC,LC,EX,EX,EX,EX,EX,EX
sp2210,Clematis pseudopogonandra,wide-ranged,LC,NT,VU,EN,NT,VU,EN,VU,VU,EN
sp2211,Clematis psilandra,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp2213,Clematis quinquefoliolata,wide-ranged,LC,EN,CR,CR,EN,CR,CR,EN,CR,CR
sp2214,Clematis ranunculoides,wide-ranged,LC,LC,LC,VU,LC,LC,VU,NT,NT,VU
sp2216,Clematis rubifolia,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,VU
sp2218,Clematis shensiensis,wide-ranged,LC,CR,CR,NT,CR,CR,NT,CR,CR,CR
sp2235,Clematis urophylla,wide-ranged,LC,VU,EN,EN,VU,EN,EN,VU,EN,EN
sp2236,Clematis vaniotii,wide-ranged,LC,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp2237,Clematis venusta,wide-ranged,NT,NT,NT,VU,NT,VU,EN,VU,VU,EN
sp2238,Clematis viridis,wide-ranged,LC,EN,CR,EX,EN,CR,EX,EN,CR,EX
sp2239,Clematis yuanjiangensis,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp2240,Clematis yunnanensis,wide-ranged,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
sp2241,Clematoclethra scandens,wide-ranged,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp2250,Clerodendrum confine,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,EN
sp2252,Clerodendrum ervatamioides,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp2255,Clerodendrum hainanense,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp2256,Clerodendrum henryi,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp2261,Clerodendrum kaichianum,wide-ranged,LC,VU,EN,CR,VU,EN,CR,VU,EN,CR
sp2262,Clerodendrum kiangsiense,wide-ranged,LC,LC,LC,NT,LC,LC,NT,NT,NT,VU
sp2264,Clerodendrum luteopunctatum,wide-ranged,LC,VU,VU,EN,VU,VU,EN,VU,VU,EN
sp2267,Clerodendrum peii,wide-ranged,LC,CR,CR,LC,CR,CR,LC,CR,CR,NT
sp2275,Clerodendrum yunnanense,wide-ranged,LC,EN,EN,VU,EN,EN,VU,EN,EN,VU
sp2278,Clethra bodinieri,wide-ranged,LC,NT,NT,NT,NT,NT,NT,NT,VU,VU
sp2281,Clethra fargesii,wide-ranged,EN,EN,CR,CR,EN,CR,CR,EN,CR,CR
sp2282,Clethra kaipoensis,wide-ranged,LC,EN,CR,CR,EN,CR,CR,EN,CR,CR
sp2284,Cleyera incornuta,wide-ranged,LC,VU,VU,NT,VU,VU,NT,VU,VU,NT
sp2287,Cleyera lipingensis,wide-ranged,LC,NT,VU,EN,NT,VU,EN,VU,VU,CR
sp2288,Cleyera longicarpa,wide-ranged,LC,LC,NT,NT,LC,NT,NT,NT,NT,NT
sp2290,Cleyera obscurinervia,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp2291,Cleyera pachyphylla,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp2292,Cleyera parvifolia,wide-ranged,NT,VU,EN,EN,VU,EN,EN,VU,EN,EN
sp2293,Cleyera yangchunensis,narrow-ranged,CR,CR,CR,CR,CR,EX,CR,EX,EX,EX
sp2296,Cnesmone hainanensis,wide-ranged,LC,NT,NT,LC,NT,NT,LC,NT,NT,VU
sp2297,Cnesmone mairei,narrow-ranged,LC,CR,CR,CR,CR,CR,CR,CR,CR,CR
sp2306,Colquhounia compta,wide-ranged,LC,EN,EN,EN,EN,EN,EN,EN,EN,CR
sp2310,Colutea delavayi,wide-ranged,VU,VU,VU,VU,VU,VU,VU,VU,VU,VU
sp2312,Combretum alfredii,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp2323,Commicarpus lantsangensis,wide-ranged,LC,LC,LC,CR,LC,LC,CR,NT,VU,CR
sp2344,Cornus austrosinensis,wide-ranged,LC,LC,LC,LC,LC,LC,NT,EN,EN,CR
sp2345,Cornus bretschneideri,wide-ranged,LC,NT,NT,NT,NT,NT,VU,VU,VU,EN
sp2351,Cornus hemsleyi,wide-ranged,LC,NT,NT,NT,NT,NT,NT,NT,VU,VU
sp2358,Cornus koehneana,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,VU,NT
sp2362,Cornus multinervosa,wide-ranged,LC,LC,LC,EN,LC,LC,EN,NT,VU,EN
sp2368,Cornus papillosa,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT
sp2369,Cornus parviflora,wide-ranged,LC,LC,LC,NT,LC,LC,NT,NT,NT,VU
sp2370,Cornus quinquenervis,wide-ranged,LC,NT,NT,VU,NT,NT,VU,VU,EN,EN
sp2371,Cornus schindleri,wide-ranged,LC,NT,NT,EN,NT,NT,EN,NT,VU,EN
sp2373,Cornus ulotricha,wide-ranged,LC,VU,VU,EN,VU,VU,EN,VU,EN,EN
sp2375,Cornus wilsoniana,wide-ranged,LC,VU,EN,EN,VU,EN,EN,EN,EN,CR
sp2376,Corylopsis alnifolia,wide-ranged,VU,EX,EX,EN,EX,EX,EN,EX,EX,CR
sp2377,Corylopsis brevistyla,wide-ranged,VU,EN,EN,VU,EN,EN,EN,EN,EN,EN
sp2378,Corylopsis glandulifera,wide-ranged,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT
sp2379,Corylopsis glaucescens,wide-ranged,LC,LC,LC,NT,NT,NT,NT,VU,VU,EN
sp2380,Corylopsis henryi,narrow-ranged,LC,EX,EX,EX,EX,EX,EX,EX,EX,EX
sp2381,Corylopsis microcarpa,wide-ranged,EN,EN,EN,EN,EN,EN,EN,EN,EN,CR
sp2382,Corylopsis multiflora,wide-ranged,LC,NT,NT,LC,NT,NT,LC,NT,NT,NT
sp2384,Corylopsis obovata,wide-ranged,EN,CR,CR,CR,EX,EX,CR,EX,EX,CR
sp2385,Corylopsis omeiensis,wide-ranged,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
sp2387,Corylopsis platypetala,wide-ranged,LC,VU,VU,EN,VU,VU,EN,VU,EN,CR
sp2388,Corylopsis rotundifolia,wide-ranged,EN,CR,CR,CR,CR,CR,CR,CR,CR,CR
sp2389,Corylopsis sinensis,wide-ranged,LC,NT,NT,VU,NT,NT,VU,NT,NT,VU
sp2391,Corylopsis stelligera,wide-ranged,LC,EN,EN,CR,EN,EN,CR,EN,CR,CR
sp2392,Corylopsis trabeculosa,narrow-ranged,EN,EX,EX,EX,EX,EX,EX,EX,EX,EX
sp2393,Corylopsis veitchiana,wide-ranged,NT,EN,CR,CR,EN,CR,CR,EN,CR,CR
sp2394,Corylopsis velutina,wide-ranged,VU,EN,EN,VU,EN,EN,VU,EN,EN,VU
sp2395,Corylopsis willmottiae,wide-ranged,LC,NT,NT,NT,NT,NT,NT,NT,NT,VU
sp2396,Corylopsis yui,wide-ranged,VU,VU,VU,VU,VU,VU,EN,VU,VU,EN
sp2397,Corylopsis yunnanensis,wide-ranged,LC,EN,EN,VU,CR,CR,EN,CR,CR,EN
sp2398,Corylus chinensis,wide-ranged,LC,LC,NT,VU,LC,NT,VU,NT,VU,EN
sp2399,Corylus fargesii,wide-ranged,LC,VU,VU,EN,VU,VU,EN,VU,EN,EN
sp2405,Corylus yunnanensis,wide-ranged,LC,NT,VU,EN,VU,VU,EN,VU,VU,EN
sp2410,Cotinus szechuanensis,wide-ranged,LC,CR,EX,VU,EX,EX,VU,EX,EX,EN
sp2416,Cotoneaster ambiguus,wide-ranged,DD,NT,NT,VU,NT,NT,VU,NT,VU,VU
sp2417,Cotoneaster apiculatus,wide-ranged,LC,NT,NT,EN,NT,NT,EN,NT,VU,EN
sp2418,Cotoneaster bullatus,wide-ranged,LC,LC,NT,VU,LC,NT,VU,NT,NT,VU
sp2422,Cotoneaster chengkangensis,narrow-ranged,DD,LC,LC,LC,NT,NT,NT,EN,EN,EN
sp2423,Cotoneaster conspicuus,wide-ranged,LC,NT,NT,VU,NT,NT,VU,NT,NT,VU
sp2424,Cotoneaster coriaceus,wide-ranged,LC,LC,NT,NT,NT,NT,NT,NT,VU,VU
sp2425,Cotoneaster dammeri,wide-ranged,DD,VU,VU,VU,VU,VU,VU,VU,EN,EN
sp2426,Cotoneaster dielsianus,wide-ranged,LC,NT,NT,VU,NT,NT,VU,NT,NT,VU
