species,name,class,current,RCP2.6,RCP2.6_CSH,Type_1,RCP4.5,RCP4.5_CSH,Type_2,RCP8.5,RCP8.5_CSH,Type_3
sp53,Acalypha hainanensis,narrow-ranged,57,105,0.84 ,LC,106,0.86 ,LC,111,0.95 ,LC
sp54,Acalypha kerrii,wide-ranged,89,68,-0.24 ,NT,111,0.25 ,LC,377,3.24 ,LC
sp55,Acalypha mairei,wide-ranged,1048,727,-0.31 ,VU,729,-0.30 ,VU,792,-0.24 ,NT
sp56,Acalypha matsudae,narrow-ranged,19,35,0.84 ,LC,35,0.84 ,LC,39,1.05 ,LC
sp57,Acalypha schneideriana,wide-ranged,1800,1409,-0.22 ,NT,1334,-0.26 ,NT,1200,-0.33 ,VU
sp58,Acantholimon alatavicum,wide-ranged,1395,1260,-0.10 ,NT,1239,-0.11 ,NT,1239,-0.11 ,NT
sp59,Acantholimon borodinii,wide-ranged,284,223,-0.21 ,NT,242,-0.15 ,NT,268,-0.06 ,NT
sp60,Acantholimon diapensioides,wide-ranged,270,88,-0.67 ,EN,77,-0.71 ,EN,83,-0.69 ,EN
sp61,Acantholimon hedinii,wide-ranged,499,268,-0.46 ,VU,273,-0.45 ,VU,295,-0.41 ,VU
sp62,Acantholimon kaschgaricum,wide-ranged,150,197,0.31 ,LC,208,0.39 ,LC,198,0.32 ,LC
sp63,Acantholimon kokandense,wide-ranged,125,67,-0.46 ,VU,77,-0.38 ,VU,98,-0.22 ,NT
sp64,Acantholimon laevigatum,wide-ranged,41,41,0.00 ,LC,40,-0.02 ,NT,12,-0.71 ,EN
sp65,Acer acutum,wide-ranged,151,71,-0.53 ,EN,31,-0.79 ,EN,8,-0.95 ,CR
sp66,Acer albopurpurascens,wide-ranged,102,105,0.03 ,LC,89,-0.13 ,NT,111,0.09 ,LC
sp67,Acer amplum,wide-ranged,2634,1789,-0.32 ,VU,1384,-0.47 ,VU,1041,-0.60 ,EN
sp68,Acer amplum ssp. bodinieri,wide-ranged,652,0,-1.00 ,EX,0,-1.00 ,EX,43,-0.93 ,CR
sp69,Acer amplum ssp. catalpifolium,wide-ranged,250,77,-0.69 ,EN,65,-0.74 ,EN,95,-0.62 ,EN
sp70,Acer amplum ssp. tientaiense,wide-ranged,86,109,0.27 ,LC,85,-0.01 ,NT,64,-0.26 ,NT
sp71,Acer barbinerve,wide-ranged,513,540,0.05 ,LC,543,0.06 ,LC,500,-0.03 ,NT
sp72,Acer buergerianum,wide-ranged,3573,3058,-0.14 ,NT,2761,-0.23 ,NT,2322,-0.35 ,VU
sp73,Acer buergerianum var. kaiscianense,wide-ranged,47,30,-0.36 ,VU,18,-0.62 ,EN,33,-0.30 ,NT
sp74,Acer buergerianum var. yentangense,narrow-ranged,171,476,1.78 ,LC,468,1.74 ,LC,406,1.37 ,LC
sp75,Acer caesium,wide-ranged,1539,1141,-0.26 ,NT,1039,-0.32 ,VU,692,-0.55 ,EN
sp76,Acer campbellii,wide-ranged,250,75,-0.70 ,EN,61,-0.76 ,EN,53,-0.79 ,EN
sp77,Acer campbellii var. serratifolium,wide-ranged,804,503,-0.37 ,VU,391,-0.51 ,EN,260,-0.68 ,EN
sp78,Acer cappadocicum,wide-ranged,1775,1431,-0.19 ,NT,1285,-0.28 ,NT,969,-0.45 ,VU
sp79,Acer cappadocicum ssp. sinicum,wide-ranged,1612,1377,-0.15 ,NT,1273,-0.21 ,NT,954,-0.41 ,VU
sp80,Acer caudatifolium,wide-ranged,65,56,-0.14 ,NT,54,-0.17 ,NT,51,-0.22 ,NT
sp81,Acer caudatum,wide-ranged,2070,1951,-0.06 ,NT,1892,-0.09 ,NT,1462,-0.29 ,NT
sp82,Acer ceriferum,wide-ranged,1899,1243,-0.35 ,VU,1139,-0.40 ,VU,927,-0.51 ,EN
sp83,Acer chienii,wide-ranged,259,127,-0.51 ,EN,116,-0.55 ,EN,99,-0.62 ,EN
sp84,Acer chingii,wide-ranged,839,820,-0.02 ,NT,611,-0.27 ,NT,280,-0.67 ,EN
sp85,Acer chunii,narrow-ranged,1248,3322,1.66 ,LC,3326,1.67 ,LC,2711,1.17 ,LC
sp86,Acer confertifolium,wide-ranged,213,191,-0.10 ,NT,143,-0.33 ,VU,92,-0.57 ,EN
sp87,Acer cordatum,wide-ranged,2475,2319,-0.06 ,NT,1972,-0.20 ,NT,1571,-0.37 ,VU
sp88,Acer coriaceifolium,wide-ranged,960,277,-0.71 ,EN,144,-0.85 ,CR,114,-0.88 ,CR
sp89,Acer crassum,wide-ranged,119,29,-0.76 ,EN,25,-0.79 ,EN,277,1.33 ,LC
sp90,Acer davidii,wide-ranged,5095,4856,-0.05 ,NT,4514,-0.11 ,NT,3669,-0.28 ,NT
sp91,Acer davidii ssp. grosseri,wide-ranged,1699,1062,-0.37 ,VU,950,-0.44 ,VU,603,-0.65 ,EN
sp92,Acer duplicatoserratum var. chinense,wide-ranged,97,67,-0.31 ,VU,35,-0.64 ,EN,10,-0.90 ,CR
sp93,Acer elegantulum,wide-ranged,898,691,-0.23 ,NT,634,-0.29 ,NT,531,-0.41 ,VU
sp94,Acer erianthum,wide-ranged,2195,1837,-0.16 ,NT,1612,-0.27 ,NT,1058,-0.52 ,EN
sp95,Acer fabri,wide-ranged,3022,1967,-0.35 ,VU,1646,-0.46 ,VU,2253,-0.25 ,NT
sp96,Acer fenzelianum,narrow-ranged,91,100,0.10 ,LC,102,0.12 ,LC,297,2.26 ,LC
sp97,Acer flabellatum,wide-ranged,2675,1090,-0.59 ,EN,891,-0.67 ,EN,857,-0.68 ,EN
sp98,Acer forrestii,wide-ranged,786,69,-0.91 ,CR,61,-0.92 ,CR,281,-0.64 ,EN
sp99,Acer fulvescens,wide-ranged,1182,1035,-0.12 ,NT,927,-0.22 ,NT,488,-0.59 ,EN
sp100,Acer gracilifolium,narrow-ranged,185,838,3.53 ,LC,834,3.51 ,LC,548,1.96 ,LC
sp101,Acer griseum,wide-ranged,749,511,-0.32 ,VU,432,-0.42 ,VU,241,-0.68 ,EN
sp102,Acer henryi,wide-ranged,2411,1608,-0.33 ,VU,1339,-0.44 ,VU,844,-0.65 ,EN
sp103,Acer hilaense,narrow-ranged,369,450,0.22 ,LC,386,0.05 ,LC,325,-0.12 ,NT
sp104,Acer komarovii,wide-ranged,681,605,-0.11 ,NT,631,-0.07 ,NT,524,-0.23 ,NT
sp105,Acer kungshanense,wide-ranged,150,16,-0.89 ,CR,16,-0.89 ,CR,35,-0.77 ,EN
sp106,Acer kwangnanense,wide-ranged,180,74,-0.59 ,EN,49,-0.73 ,EN,246,0.37 ,LC
sp107,Acer kweilinense,wide-ranged,885,127,-0.86 ,CR,112,-0.87 ,CR,354,-0.60 ,EN
sp108,Acer laevigatum,wide-ranged,1959,1478,-0.25 ,NT,1214,-0.38 ,VU,995,-0.49 ,VU
sp109,Acer laevigatum var. salweenense,wide-ranged,67,42,-0.37 ,VU,38,-0.43 ,VU,57,-0.15 ,NT
sp110,Acer laurinum,wide-ranged,1208,1156,-0.04 ,NT,1038,-0.14 ,NT,776,-0.36 ,VU
sp111,Acer laxiflorum,wide-ranged,1084,787,-0.27 ,NT,749,-0.31 ,VU,639,-0.41 ,VU
sp112,Acer leipoense,wide-ranged,69,107,0.55 ,LC,97,0.41 ,LC,108,0.57 ,LC
sp113,Acer linganense,wide-ranged,358,88,-0.75 ,EN,38,-0.89 ,CR,7,-0.98 ,CR
sp114,Acer longipes,wide-ranged,1890,377,-0.80 ,CR,162,-0.91 ,CR,20,-0.99 ,CR
sp115,Acer lucidum,wide-ranged,1835,1377,-0.25 ,NT,919,-0.50 ,VU,478,-0.74 ,EN
sp116,Acer lungshengense,wide-ranged,79,60,-0.24 ,NT,23,-0.71 ,EN,4,-0.95 ,CR
sp117,Acer mandshuricum,wide-ranged,641,714,0.11 ,LC,708,0.10 ,LC,437,-0.32 ,VU
sp118,Acer maximowiczii,wide-ranged,1436,1089,-0.24 ,NT,994,-0.31 ,VU,723,-0.50 ,VU
sp119,Acer metcalfii,wide-ranged,1070,713,-0.33 ,VU,462,-0.57 ,EN,329,-0.69 ,EN
sp120,Acer miaoshanicum,wide-ranged,71,12,-0.83 ,CR,3,-0.96 ,CR,2,-0.97 ,CR
sp121,Acer miaotaiense,wide-ranged,581,548,-0.06 ,NT,458,-0.21 ,NT,245,-0.58 ,EN
sp122,Acer morrisonense,wide-ranged,44,45,0.02 ,LC,42,-0.05 ,NT,39,-0.11 ,NT
sp123,Acer nikoense,wide-ranged,559,112,-0.80 ,EN,46,-0.92 ,CR,31,-0.94 ,CR
sp124,Acer oblongum,wide-ranged,3342,2720,-0.19 ,NT,2446,-0.27 ,NT,2060,-0.38 ,VU
sp125,Acer oblongum var. omeiense,narrow-ranged,451,1298,1.88 ,LC,1243,1.76 ,LC,879,0.95 ,LC
sp126,Acer oligocarpum,wide-ranged,139,182,0.31 ,LC,186,0.34 ,LC,99,-0.29 ,NT
sp127,Acer oliverianum,wide-ranged,3754,3103,-0.17 ,NT,2835,-0.24 ,NT,2372,-0.37 ,VU
sp128,Acer palmatum,wide-ranged,2170,837,-0.61 ,EN,619,-0.71 ,EN,357,-0.84 ,CR
sp129,Acer pauciflorum,wide-ranged,389,281,-0.28 ,NT,258,-0.34 ,VU,203,-0.48 ,VU
sp130,Acer paxii,wide-ranged,727,639,-0.12 ,NT,682,-0.06 ,NT,629,-0.13 ,NT
sp131,Acer pectinatum,wide-ranged,857,878,0.02 ,LC,942,0.10 ,LC,705,-0.18 ,NT
sp132,Acer pectinatum ssp. taronense,wide-ranged,431,327,-0.24 ,NT,276,-0.36 ,VU,259,-0.40 ,VU
sp133,Acer pentaphyllum,wide-ranged,101,169,0.67 ,LC,147,0.46 ,LC,33,-0.67 ,EN
sp134,Acer pictum ssp. macropterum,wide-ranged,1056,960,-0.09 ,NT,937,-0.11 ,NT,876,-0.17 ,NT
sp135,Acer pictum ssp. mono,wide-ranged,5653,4872,-0.14 ,NT,4691,-0.17 ,NT,4178,-0.26 ,NT
sp136,Acer pictum ssp. pubigerum,narrow-ranged,436,787,0.81 ,LC,791,0.81 ,LC,654,0.50 ,LC
sp137,Acer pictum ssp. tricuspis,wide-ranged,520,356,-0.32 ,VU,279,-0.46 ,VU,157,-0.70 ,EN
sp138,Acer pilosum,narrow-ranged,520,841,0.62 ,LC,813,0.56 ,LC,1090,1.10 ,LC
sp139,Acer pilosum var. stenolobum,wide-ranged,332,5,-0.98 ,CR,2,-0.99 ,CR,113,-0.66 ,EN
sp140,Acer pinnatinervium,wide-ranged,52,30,-0.42 ,VU,43,-0.17 ,NT,25,-0.52 ,EN
sp141,Acer poliophyllum,narrow-ranged,265,30,-0.89 ,CR,14,-0.95 ,CR,269,0.02 ,LC
sp142,Acer pseudosieboldianum,wide-ranged,398,368,-0.08 ,NT,363,-0.09 ,NT,346,-0.13 ,NT
sp143,Acer pubinerve,wide-ranged,1874,1181,-0.37 ,VU,814,-0.57 ,EN,367,-0.80 ,CR
sp144,Acer pubipetiolatum,wide-ranged,622,748,0.20 ,LC,720,0.16 ,LC,381,-0.39 ,VU
sp145,Acer pubipetiolatum var. pingpienense,wide-ranged,323,159,-0.51 ,EN,64,-0.80 ,CR,87,-0.73 ,EN
sp146,Acer shenkanense,wide-ranged,1964,1349,-0.31 ,VU,1201,-0.39 ,VU,788,-0.60 ,EN
sp147,Acer sikkimense,wide-ranged,1249,1484,0.19 ,LC,1405,0.12 ,LC,1005,-0.20 ,NT
sp148,Acer sinense,wide-ranged,3897,3569,-0.08 ,NT,3328,-0.15 ,NT,2893,-0.26 ,NT
sp149,Acer sino-oblongum,wide-ranged,452,44,-0.90 ,CR,36,-0.92 ,CR,100,-0.78 ,EN
sp150,Acer sinopurpurascens,wide-ranged,270,9,-0.97 ,CR,6,-0.98 ,CR,0,-1.00 ,EX
sp151,Acer stachyophyllum,wide-ranged,1152,1202,0.04 ,LC,1149,0.00 ,NT,791,-0.31 ,VU
sp152,Acer stachyophyllum ssp. betulifolium,wide-ranged,1909,1685,-0.12 ,NT,1532,-0.20 ,NT,1200,-0.37 ,VU
sp153,Acer sterculiaceum,wide-ranged,427,521,0.22 ,LC,542,0.27 ,LC,373,-0.13 ,NT
sp154,Acer sterculiaceum ssp. franchetii,wide-ranged,1708,1655,-0.03 ,NT,1616,-0.05 ,NT,1391,-0.19 ,NT
sp155,Acer sutchuenense,wide-ranged,268,194,-0.28 ,NT,148,-0.45 ,VU,144,-0.46 ,VU
sp156,Acer sycopseoides,wide-ranged,154,19,-0.88 ,CR,13,-0.92 ,CR,13,-0.92 ,CR
sp157,Acer tataricum ssp. ginnala,wide-ranged,4427,3743,-0.15 ,NT,3585,-0.19 ,NT,3252,-0.27 ,NT
sp158,Acer tataricum ssp. semenovii,wide-ranged,138,78,-0.43 ,VU,76,-0.45 ,VU,66,-0.52 ,EN
sp159,Acer tataricum ssp. theiferum,wide-ranged,2268,1207,-0.47 ,VU,972,-0.57 ,EN,670,-0.70 ,EN
sp160,Acer tegmentosum,wide-ranged,1035,1457,0.41 ,LC,1468,0.42 ,LC,1049,0.01 ,LC
sp161,Acer tenellum,narrow-ranged,549,798,0.45 ,LC,748,0.36 ,LC,717,0.31 ,LC
sp162,Acer tenellum var. septemlobum,narrow-ranged,227,820,2.61 ,LC,752,2.31 ,LC,1026,3.52 ,LC
sp163,Acer thomsonii,wide-ranged,141,233,0.65 ,LC,225,0.60 ,LC,121,-0.14 ,NT
sp164,Acer tibetense,wide-ranged,72,0,-1.00 ,EX,0,-1.00 ,EX,0,-1.00 ,EX
sp165,Acer tonkinense,wide-ranged,877,1234,0.41 ,LC,1177,0.34 ,LC,835,-0.05 ,NT
sp166,Acer triflorum,wide-ranged,568,538,-0.05 ,NT,525,-0.08 ,NT,427,-0.25 ,NT
sp167,Acer truncatum,wide-ranged,2636,2137,-0.19 ,NT,2038,-0.23 ,NT,1133,-0.57 ,EN
sp168,Acer tsinglingense,wide-ranged,744,487,-0.35 ,VU,428,-0.42 ,VU,242,-0.67 ,EN
sp169,Acer tutcheri,wide-ranged,1856,2178,0.17 ,LC,2026,0.09 ,LC,1918,0.03 ,LC
sp170,Acer ukurunduense,wide-ranged,662,638,-0.04 ,NT,621,-0.06 ,NT,355,-0.46 ,VU
sp171,Acer wangchii,wide-ranged,526,559,0.06 ,LC,513,-0.02 ,NT,512,-0.03 ,NT
sp172,Acer wardii,wide-ranged,279,199,-0.29 ,NT,193,-0.31 ,VU,173,-0.38 ,VU
sp173,Acer wilsonii,wide-ranged,2593,1211,-0.53 ,EN,751,-0.71 ,EN,602,-0.77 ,EN
sp174,Acer yui,narrow-ranged,56,1,-0.98 ,CR,0,-1.00 ,EX,9,-0.84 ,CR
sp175,Acidosasa chienouensis,wide-ranged,86,55,-0.36 ,VU,55,-0.36 ,VU,49,-0.43 ,VU
sp176,Acidosasa lingchuanensis,narrow-ranged,300,1098,2.66 ,LC,1089,2.63 ,LC,874,1.91 ,LC
sp177,Acidosasa nanunica,wide-ranged,404,614,0.52 ,LC,575,0.42 ,LC,582,0.44 ,LC
sp178,Acidosasa notata,wide-ranged,183,164,-0.10 ,NT,133,-0.27 ,NT,98,-0.46 ,VU
sp179,Acidosasa purpurea,wide-ranged,64,7,-0.89 ,CR,7,-0.89 ,CR,107,0.67 ,LC
sp180,Acrocarpus fraxinifolius,wide-ranged,501,511,0.02 ,LC,466,-0.07 ,NT,424,-0.15 ,NT
sp181,Acronychia pedunculata,wide-ranged,1218,1259,0.03 ,LC,1219,0.00 ,LC,1249,0.03 ,LC
sp182,Actephila excelsa,wide-ranged,282,464,0.65 ,LC,516,0.83 ,LC,650,1.30 ,LC
sp183,Actephila merrilliana,wide-ranged,99,122,0.23 ,LC,140,0.41 ,LC,201,1.03 ,LC
sp184,Actinidia arguta,wide-ranged,4122,3893,-0.06 ,NT,3654,-0.11 ,NT,2126,-0.48 ,VU
sp185,Actinidia callosa var. acuminata,narrow-ranged,1073,2235,1.08 ,LC,2155,1.01 ,LC,1496,0.39 ,LC
sp186,Actinidia chengkouensis,wide-ranged,142,75,-0.47 ,VU,70,-0.51 ,EN,38,-0.73 ,EN
sp187,Actinidia chinensis,wide-ranged,3689,3273,-0.11 ,NT,3072,-0.17 ,NT,2682,-0.27 ,NT
sp188,Actinidia chrysantha,wide-ranged,700,312,-0.55 ,EN,182,-0.74 ,EN,79,-0.89 ,CR
sp189,Actinidia eriantha,wide-ranged,2191,2547,0.16 ,LC,2389,0.09 ,LC,2176,-0.01 ,NT
sp190,Actinidia farinosa,narrow-ranged,81,28,-0.65 ,EN,42,-0.48 ,VU,166,1.05 ,LC
sp191,Actinidia fasciculoides,wide-ranged,234,0,-1.00 ,EX,0,-1.00 ,EX,191,-0.18 ,NT
sp192,Actinidia fasciculoides var. cuneata,wide-ranged,107,0,-1.00 ,EX,0,-1.00 ,EX,106,-0.01 ,NT
sp193,Actinidia fasciculoides var. orbiculata,narrow-ranged,43,280,5.51 ,LC,302,6.02 ,LC,436,9.14 ,LC
sp194,Actinidia fortunatii,wide-ranged,990,592,-0.40 ,VU,368,-0.63 ,EN,185,-0.81 ,CR
sp195,Actinidia fulvicoma,wide-ranged,1875,2071,0.10 ,LC,1959,0.04 ,LC,1913,0.02 ,LC
sp196,Actinidia fulvicoma var. cinerascens,wide-ranged,755,977,0.29 ,LC,808,0.07 ,LC,635,-0.16 ,NT
sp197,Actinidia fulvicoma var. hirsuta,wide-ranged,1298,715,-0.45 ,VU,508,-0.61 ,EN,349,-0.73 ,EN
sp198,Actinidia fulvicoma var. pachyphylla,wide-ranged,264,407,0.54 ,LC,301,0.14 ,LC,161,-0.39 ,VU
sp199,Actinidia grandiflora,narrow-ranged,160,805,4.03 ,LC,783,3.89 ,LC,379,1.37 ,LC
sp200,Actinidia hemsleyana,wide-ranged,546,814,0.49 ,LC,708,0.30 ,LC,508,-0.07 ,NT
sp201,Actinidia henryi,wide-ranged,825,212,-0.74 ,EN,163,-0.80 ,CR,384,-0.53 ,EN
sp202,Actinidia kolomikta,wide-ranged,1729,1590,-0.08 ,NT,1450,-0.16 ,NT,1182,-0.32 ,VU
sp203,Actinidia laevissima,narrow-ranged,89,0,-1.00 ,EX,0,-1.00 ,EX,66,-0.26 ,NT
sp204,Actinidia lanceolata,wide-ranged,1400,1271,-0.09 ,NT,1144,-0.18 ,NT,857,-0.39 ,VU
sp205,Actinidia latifolia var. mollis,wide-ranged,223,250,0.12 ,LC,202,-0.09 ,NT,261,0.17 ,LC
sp206,Actinidia liangguangensis,wide-ranged,296,315,0.06 ,LC,291,-0.02 ,NT,194,-0.34 ,VU
sp207,Actinidia melanandra var. glabrescens,wide-ranged,136,15,-0.89 ,CR,33,-0.76 ,EN,3,-0.98 ,CR
sp208,Actinidia obovata,wide-ranged,245,632,1.58 ,LC,656,1.68 ,LC,325,0.33 ,LC
sp209,Actinidia pilosula,wide-ranged,368,109,-0.70 ,EN,85,-0.77 ,EN,100,-0.73 ,EN
sp210,Actinidia polygama,wide-ranged,3217,2373,-0.26 ,NT,2163,-0.33 ,VU,1160,-0.64 ,EN
sp211,Actinidia rubricaulis,wide-ranged,2336,688,-0.71 ,EN,602,-0.74 ,EN,1038,-0.56 ,EN
sp212,Actinidia rubricaulis var. coriacea,wide-ranged,1754,310,-0.82 ,CR,286,-0.84 ,CR,288,-0.84 ,CR
sp213,Actinidia rudis,wide-ranged,225,280,0.24 ,LC,241,0.07 ,LC,231,0.03 ,LC
sp214,Actinidia rudis var. glabricaulis,wide-ranged,67,108,0.61 ,LC,96,0.43 ,LC,111,0.66 ,LC
sp215,Actinidia rufotricha,narrow-ranged,896,1573,0.76 ,LC,1573,0.76 ,LC,1688,0.88 ,LC
sp216,Actinidia rufotricha var. glomerata,wide-ranged,46,4,-0.91 ,CR,0,-1.00 ,EX,69,0.50 ,LC
sp217,Actinidia sabiifolia,wide-ranged,600,294,-0.51 ,EN,158,-0.74 ,EN,60,-0.90 ,CR
sp218,Actinidia sorbifolia,wide-ranged,197,3,-0.98 ,CR,3,-0.98 ,CR,0,-1.00 ,EX
sp219,Actinidia stellatopilosa,narrow-ranged,69,511,6.41 ,LC,472,5.84 ,LC,223,2.23 ,LC
sp220,Actinidia styracifolia,wide-ranged,566,607,0.07 ,LC,508,-0.10 ,NT,433,-0.23 ,NT
sp221,Actinidia suberifolia,narrow-ranged,78,287,2.68 ,LC,290,2.72 ,LC,385,3.94 ,LC
sp222,Actinidia tetramera,wide-ranged,1347,1100,-0.18 ,NT,923,-0.31 ,VU,506,-0.62 ,EN
sp223,Actinidia trichogyna,wide-ranged,1224,1056,-0.14 ,NT,870,-0.29 ,NT,532,-0.57 ,EN
sp224,Actinidia ulmifolia,narrow-ranged,789,1625,1.06 ,LC,1625,1.06 ,LC,1428,0.81 ,LC
sp225,Actinidia umbelloides,wide-ranged,278,291,0.05 ,LC,269,-0.03 ,NT,47,-0.83 ,CR
sp226,Actinidia valvata,wide-ranged,1244,515,-0.59 ,EN,323,-0.74 ,EN,136,-0.89 ,CR
sp227,Actinidia venosa,wide-ranged,1322,1213,-0.08 ,NT,1078,-0.18 ,NT,778,-0.41 ,VU
sp228,Actinidia vitifolia,wide-ranged,130,207,0.59 ,LC,163,0.25 ,LC,99,-0.24 ,NT
sp229,Actinidia zhejiangensis,wide-ranged,124,153,0.23 ,LC,84,-0.32 ,VU,72,-0.42 ,VU
sp230,Actinodaphne acuminata,wide-ranged,260,239,-0.08 ,NT,249,-0.04 ,NT,402,0.55 ,LC
