species,name,class,current,RCP2.6,RCP2.6_CSH,Type_1,RCP4.5,RCP4.5_CSH,Type_2,RCP8.5,RCP8.5_CSH,Type_3
sp1,Abelia chinensis,wide-ranged,2573,2328,-0.10 ,NT,2009,-0.22 ,NT,1774,-0.31 ,VU
sp2,Abelia forrestii,wide-ranged,166,68,-0.59 ,EN,42,-0.75 ,EN,29,-0.83 ,CR
sp3,Abelia serrata,narrow-ranged,187,567,2.03 ,LC,558,1.98 ,LC,471,1.52 ,LC
sp4,Abelia uniflora,wide-ranged,2539,2426,-0.04 ,NT,2326,-0.08 ,NT,1942,-0.24 ,NT
sp5,Abies beshanzuensis,narrow-ranged,71,178,1.51 ,LC,139,0.96 ,LC,69,-0.03 ,NT
sp6,Abies beshanzuensis var. ziyuanensis,wide-ranged,39,2,-0.95 ,CR,0,-1.00 ,EX,0,-1.00 ,EX
sp7,Abies chayuensis,wide-ranged,94,12,-0.87 ,CR,8,-0.91 ,CR,6,-0.94 ,CR
sp8,Abies chensiensis,wide-ranged,327,350,0.07 ,LC,331,0.01 ,LC,254,-0.22 ,NT
sp9,Abies delavayi,wide-ranged,425,283,-0.33 ,VU,250,-0.41 ,VU,193,-0.55 ,EN
sp10,Abies delavayi var. motuoensis,wide-ranged,253,295,0.17 ,LC,297,0.17 ,LC,220,-0.13 ,NT
sp11,Abies ernestii,wide-ranged,1202,1147,-0.05 ,NT,1115,-0.07 ,NT,1055,-0.12 ,NT
sp12,Abies ernestii var. salouenensis,wide-ranged,371,160,-0.57 ,EN,129,-0.65 ,EN,212,-0.43 ,VU
sp13,Abies fabri,wide-ranged,433,549,0.27 ,LC,542,0.25 ,LC,249,-0.42 ,VU
sp14,Abies fargesii,wide-ranged,1012,1326,0.31 ,LC,1272,0.26 ,LC,985,-0.03 ,NT
sp15,Abies fargesii var. faxoniana,wide-ranged,710,782,0.10 ,LC,742,0.05 ,LC,707,0.00 ,NT
sp16,Abies ferreana,wide-ranged,336,148,-0.56 ,EN,151,-0.55 ,EN,172,-0.49 ,VU
sp17,Abies ferreana var. longibracteata,wide-ranged,41,19,-0.54 ,EN,21,-0.49 ,VU,11,-0.73 ,EN
sp18,Abies forrestii,wide-ranged,877,684,-0.22 ,NT,743,-0.15 ,NT,1050,0.20 ,LC
sp19,Abies georgei,wide-ranged,1016,553,-0.46 ,VU,516,-0.49 ,VU,387,-0.62 ,EN
sp20,Abies georgei var. smithii,wide-ranged,1072,1092,0.02 ,LC,1101,0.03 ,LC,1086,0.01 ,LC
sp21,Abies holophylla,wide-ranged,614,317,-0.48 ,VU,257,-0.58 ,EN,120,-0.80 ,CR
sp22,Abies kawakamii,wide-ranged,25,21,-0.16 ,NT,20,-0.20 ,NT,18,-0.28 ,NT
sp23,Abies nephrolepis,wide-ranged,1329,1740,0.31 ,LC,1766,0.33 ,LC,1420,0.07 ,LC
sp24,Abies nukiangensis,wide-ranged,58,42,-0.28 ,NT,32,-0.45 ,VU,28,-0.52 ,EN
sp25,Abies recurvata,wide-ranged,580,483,-0.17 ,NT,471,-0.19 ,NT,398,-0.31 ,VU
sp26,Abies sibirica,wide-ranged,62,51,-0.18 ,NT,43,-0.31 ,VU,30,-0.52 ,EN
sp27,Abies spectabilis,wide-ranged,84,58,-0.31 ,VU,54,-0.36 ,VU,6,-0.93 ,CR
sp28,Abies squamata,wide-ranged,1079,1225,0.14 ,LC,1266,0.17 ,LC,1234,0.14 ,LC
sp29,Abies yuanbaoshanensis,narrow-ranged,125,819,5.55 ,LC,812,5.50 ,LC,427,2.42 ,LC
sp30,Abrus precatorius,wide-ranged,987,781,-0.21 ,NT,733,-0.26 ,NT,813,-0.18 ,NT
sp31,Abrus pulchellus,wide-ranged,44,211,3.80 ,LC,217,3.93 ,LC,99,1.25 ,LC
sp32,Abrus pulchellus ssp. mollis,wide-ranged,642,585,-0.09 ,NT,562,-0.12 ,NT,682,0.06 ,LC
sp33,Abutilon gebauerianum,wide-ranged,353,228,-0.35 ,VU,161,-0.54 ,EN,65,-0.82 ,CR
sp34,Abutilon paniculatum,wide-ranged,375,203,-0.46 ,VU,218,-0.42 ,VU,264,-0.30 ,NT
sp35,Abutilon sinense,wide-ranged,1348,849,-0.37 ,VU,748,-0.45 ,VU,940,-0.30 ,VU
sp36,Abutilon sinense var. edentatum,narrow-ranged,133,440,2.31 ,LC,442,2.32 ,LC,204,0.53 ,LC
sp37,Acacia caesia,wide-ranged,724,506,-0.30 ,VU,410,-0.43 ,VU,563,-0.22 ,NT
sp38,Acacia catechu,wide-ranged,397,686,0.73 ,LC,710,0.79 ,LC,1008,1.54 ,LC
sp39,Acacia concinna,wide-ranged,2738,2658,-0.03 ,NT,2413,-0.12 ,NT,2419,-0.12 ,NT
sp40,Acacia confusa,wide-ranged,2380,2697,0.13 ,LC,2668,0.12 ,LC,2693,0.13 ,LC
sp41,Acacia delavayi,wide-ranged,860,792,-0.08 ,NT,816,-0.05 ,NT,821,-0.05 ,NT
sp42,Acacia farnesiana,wide-ranged,1493,1500,0.00 ,LC,1448,-0.03 ,NT,1448,-0.03 ,NT
sp43,Acacia megaladena,wide-ranged,905,1054,0.16 ,LC,963,0.06 ,LC,792,-0.12 ,NT
sp44,Acacia pennata,wide-ranged,2598,2664,0.03 ,LC,2634,0.01 ,LC,2495,-0.04 ,NT
sp45,Acacia pruinescens,wide-ranged,413,0,-1.00 ,EX,0,-1.00 ,EX,131,-0.68 ,EN
sp46,Acacia teniana,wide-ranged,245,349,0.42 ,LC,364,0.49 ,LC,246,0.00 ,LC
sp47,Acacia tonkinensis,narrow-ranged,43,65,0.51 ,LC,66,0.53 ,LC,113,1.63 ,LC
sp48,Acacia vietnamensis,wide-ranged,327,40,-0.88 ,CR,15,-0.95 ,CR,21,-0.94 ,CR
sp49,Acacia yunnanensis,wide-ranged,668,572,-0.14 ,NT,632,-0.05 ,NT,654,-0.02 ,NT
sp50,Acalypha akoensis,narrow-ranged,68,73,0.07 ,LC,71,0.04 ,LC,72,0.06 ,LC
sp51,Acalypha angatensis,narrow-ranged,54,60,0.11 ,LC,60,0.11 ,LC,56,0.04 ,LC
sp52,Acalypha caturus,narrow-ranged,32,23,-0.28 ,NT,22,-0.31 ,VU,32,0.00 ,LC
