code,name,level
sp1774,Cassiope wardii,DD
sp1775,Castanea mollissima,LC
sp1776,Castanopsis amabilis,VU
sp1777,Castanopsis argyrophylla,LC
sp1778,Castanopsis boisii,NT
sp1779,Castanopsis calathiformis,LC
sp1780,Castanopsis carlesii,LC
sp1781,Castanopsis carlesii var. spinulosa,LC
sp1782,Castanopsis ceratacantha,LC
sp1783,Castanopsis chinensis,VU
sp1784,Castanopsis choboensis,LC
sp1785,Castanopsis chunii,LC
sp1786,Castanopsis clarkei,NT
sp1787,Castanopsis concinna,NT
sp1788,Castanopsis crassifolia,VU
sp1789,Castanopsis delavayi,LC
sp1790,Castanopsis densispinosa,CR
sp1791,Castanopsis echinocarpa,LC
sp1792,Castanopsis eyrei,LC
sp1793,Castanopsis fabri,LC
sp1794,Castanopsis fargesii,LC
sp1795,Castanopsis ferox,LC
sp1796,Castanopsis fissa,LC
sp1797,Castanopsis fleuryi,NT
sp1798,Castanopsis fordii,LC
sp1799,Castanopsis globigemmata,CR
sp1800,Castanopsis hainanensis,VU
sp1801,Castanopsis hupehensis,LC
sp1802,Castanopsis hystrix,LC
sp1803,Castanopsis indica,LC
sp1804,Castanopsis jianfenglingensis,NT
sp1805,Castanopsis jucunda,LC
sp1806,Castanopsis kawakamii,VU
sp1807,Castanopsis kweichowensis,NT
sp1808,Castanopsis lamontii,LC
sp1809,Castanopsis ledongensis,EN
sp1810,Castanopsis longispina,DD
sp1811,Castanopsis longzhouica,CR
sp1812,Castanopsis megaphylla,NT
sp1813,Castanopsis mekongensis,LC
sp1814,Castanopsis nigrescens,LC
sp1815,Castanopsis oblonga,CR
sp1816,Castanopsis orthacantha,LC
sp1817,Castanopsis platyacantha,LC
sp1818,Castanopsis remotidenticulata,DD
sp1819,Castanopsis rockii,VU
sp1820,Castanopsis sclerophylla,LC
sp1821,Castanopsis tcheponensis,LC
sp1822,Castanopsis tessellata,EN
sp1823,Castanopsis tibetana,LC
sp1824,Castanopsis tonkinensis,LC
sp1825,Castanopsis tribuloides,NT
sp1826,Castanopsis uraiana,LC
sp1827,Castanopsis wattii,NT
sp1828,Catalpa bungei,LC
sp1829,Catalpa fargesii,LC
sp1830,Catalpa ovata,LC
sp1831,Catalpa tibetica,EN
sp1832,Cathaya argyrophylla,EN
sp1833,Catunaregam spinosa,LC
sp1834,Cayratia ciliifera,LC
sp1835,Cayratia cordifolia,LC
sp1836,Cayratia geniculata,LC
sp1837,Cayratia japonica var. mollis,LC
sp1838,Cayratia japonica var. pseudotrifolia,LC
sp1839,Cayratia oligocarpa,LC
sp1840,Cayratia pedata,LC
sp1841,Cayratia timoriensis var. mekongensis,LC
sp1842,Cayratia trifolia,LC
sp1843,Cedrus deodara,LC
sp1844,Celastrus angulatus,LC
sp1845,Celastrus cuneatus,DD
sp1846,Celastrus flagellaris,LC
sp1847,Celastrus gemmatus,LC
sp1848,Celastrus glaucophyllus,LC
sp1849,Celastrus hirsutus,LC
sp1850,Celastrus hookeri,LC
sp1851,Celastrus hypoleucoides,LC
sp1852,Celastrus hypoleucus,LC
sp1853,Celastrus kusanoi,LC
sp1854,Celastrus monospermus,LC
sp1855,Celastrus oblanceifolius,DD
sp1856,Celastrus orbiculatus,LC
sp1857,Celastrus paniculatus,LC
sp1858,Celastrus punctatus,LC
sp1859,Celastrus rosthornianus,LC
sp1860,Celastrus rosthornianus var. loeseneri,LC
sp1861,Celastrus rugosus,DD
sp1862,Celastrus stylosus,VU
sp1863,Celastrus stylosus var. puberulus,LC
sp1864,Celastrus tonkinensis,DD
sp1865,Celastrus vaniotii,LC
sp1866,Celastrus virens,EN
sp1867,Celtis biondii,LC
sp1868,Celtis bungeana,LC
sp1869,Celtis cerasifera,NT
sp1870,Celtis chekiangensis,EN
sp1871,Celtis julianae,LC
sp1872,Celtis koraiensis,LC
sp1873,Celtis philippensis,LC
sp1874,Celtis philippensis var. wightii,NT
sp1875,Celtis sinensis,LC
sp1876,Celtis tetrandra,DD
sp1877,Celtis timorensis,LC
sp1878,Celtis vandervoetiana,LC
sp1879,Cenocentrum tonkinense,LC
sp1880,Cephaelis laui,VU
sp1881,Cephalanthus tetrandrus,LC
sp1882,Cephalomappa sinensis,VU
sp1883,Cephalostachyum latifolium,DD
sp1884,Cephalostachyum pallidum,DD
sp1885,Cephalostachyum pergracile,LC
sp1886,Cephalotaxus fortunei,LC
sp1887,Cephalotaxus fortunei var. alpina,LC
sp1888,Cephalotaxus lanceolata,CR
sp1889,Cephalotaxus latifolia,CR
sp1890,Cephalotaxus mannii,EN
sp1891,Cephalotaxus oliveri,VU
sp1892,Cephalotaxus sinensis,LC
sp1893,Cerasus campanulata,LC
sp1894,Cerasus caudata,DD
sp1895,Cerasus cerasoides,LC
sp1896,Cerasus clarofolia,LC
sp1897,Cerasus conadenia,LC
sp1898,Cerasus conradinae,LC
sp1899,Cerasus crataegifolia,LC
sp1900,Cerasus cyclamina,LC
sp1901,Cerasus cyclamina var. biflora,LC
sp1902,Cerasus dielsiana,LC
sp1903,Cerasus dielsiana var. abbreviata,LC
sp1904,Cerasus discoidea,NT
sp1905,Cerasus dolichadenia,LC
sp1906,Cerasus fruticosa,LC
sp1907,Cerasus glandulosa,DD
sp1908,Cerasus henryi,LC
sp1909,Cerasus humilis,LC
sp1910,Cerasus japonica var. nakaii,LC
sp1911,Cerasus maximowiczii,LC
sp1912,Cerasus mugus,DD
sp1913,Cerasus patentipila,DD
sp1914,Cerasus pleiocerasus,DD
sp1915,Cerasus pogonostyla,LC
sp1916,Cerasus polytricha,LC
sp1917,Cerasus pseudocerasus,LC
sp1918,Cerasus schneideriana,LC
sp1919,Cerasus serrula,LC
sp1920,Cerasus serrulata,LC
sp1921,Cerasus serrulata var. pubescens,LC
sp1922,Cerasus setulosa,LC
sp1923,Cerasus stipulacea,LC
sp1924,Cerasus szechuanica,LC
sp1925,Cerasus tatsienensis,LC
sp1926,Cerasus tianshanica,LC
sp1927,Cerasus tomentosa,LC
sp1928,Cerasus trichantha,LC
sp1929,Cerasus trichostoma,LC
sp1930,Cerasus yunnanensis,LC
sp1931,Ceratostigma griffithii,LC
sp1932,Ceratostigma minus,LC
sp1933,Ceratostigma ulicinum,LC
sp1934,Ceratostigma willmottianum,LC
sp1935,Cerbera manghas,LC
sp1936,Cercidiphyllum japonicum,LC
sp1937,Cercis chinensis,LC
sp1938,Cercis chingii,EN
sp1939,Cercis chuniana,LC
sp1940,Cercis glabra,DD
sp1941,Cercis racemosa,LC
sp1942,Ceriscoides howii,VU
sp1943,Chaenomeles cathayensis,LC
sp1944,Chaenomeles sinensis,LC
sp1945,Chaenomeles thibetica,NT
sp1946,Chaetocarpus castanocarpus,LC
sp1947,Chamaecyparis formosensis,EN
sp1948,Chamaecyparis obtusa var. formosana,VU
sp1949,Chamaedaphne calyculata,NT
sp1950,Chamaerhodos altaica,LC
sp1951,Champereia manillana,LC
sp1952,Chassalia curviflora,VU
sp1953,Chassalia curviflora var. longifolia,LC
sp1954,Chelonopsis albiflora,LC
sp1955,Chelonopsis bracteata,VU
sp1956,Chelonopsis forrestii,NT
sp1957,Chelonopsis giraldii,LC
sp1958,Chelonopsis lichiangensis,EN
sp1959,Chelonopsis mollissima,LC
sp1960,Chelonopsis odontochila,LC
sp1961,Chelonopsis odontochila var. smithii,LC
sp1962,Chelonopsis pseudobracteata,LC
sp1963,Chelonopsis rosea,NT
sp1964,Chelonopsis siccanea,EX
sp1965,Chelonopsis souliei,LC
sp1966,Chengiopanax fargesii,LC
sp1967,Chesneya crassipes,VU
sp1968,Chesneya nubigena,LC
sp1969,Chesneya polystichoides,LC
sp1970,Chesneya spinosa,LC
sp1971,Chesniella ferganensis,VU
sp1972,Chesniella mongolica,LC
sp1973,Chieniodendron hainanense,EN
sp1974,Chimonanthus campanulatus,LC
sp1975,Chimonanthus grammatus,EN
sp1976,Chimonanthus nitens,LC
sp1977,Chimonanthus praecox,LC
sp1978,Chimonanthus salicifolius,NT
sp1979,Chimonanthus zhejiangensis,LC
sp1980,Chimonobambusa angustifolia,LC
sp1981,Chimonobambusa armata,LC
sp1982,Chimonobambusa communis,LC
sp1983,Chimonobambusa convoluta,LC
sp1984,Chimonobambusa hejiangensis,VU
sp1985,Chimonobambusa hirtinoda,LC
sp1986,Chimonobambusa hsuehiana,LC
sp1987,Chimonobambusa macrophylla,LC
sp1988,Chimonobambusa macrophylla var. leiboensis,DD
sp1989,Chimonobambusa marmorea,VU
sp1990,Chimonobambusa metuoensis,EN
sp1991,Chimonobambusa microfloscula,EN
sp1992,Chimonobambusa opienensis,LC
sp1993,Chimonobambusa puberula,LC
sp1994,Chimonobambusa pubescens,DD
sp1995,Chimonobambusa purpurea,NT
sp1996,Chimonobambusa quadrangularis,LC
sp1997,Chimonobambusa rigidula,LC
sp1998,Chimonobambusa sichuanensis,LC
sp1999,Chimonobambusa tumidissinoda,LC
sp2000,Chimonocalamus delicatus,VU
sp2001,Chimonocalamus dumosus,LC
sp2002,Chimonocalamus fimbriatus,LC
sp2003,Chimonocalamus griffithianus,LC
sp2004,Chimonocalamus longiligulatus,VU
sp2005,Chimonocalamus montanus,VU
sp2006,Chimonocalamus pallens,VU
sp2007,Chionanthus brachythyrsus,DD
sp2008,Chionanthus guangxiensis,LC
sp2009,Chionanthus hainanensis,LC
sp2010,Chionanthus henryanus,LC
sp2011,Chionanthus longiflorus,NT
sp2012,Chionanthus ramiflorus,LC
sp2013,Chionanthus ramiflorus var. grandiflorus,LC
sp2014,Chionanthus retusus,LC
sp2015,Chisocheton cumingianus ssp. balansae,DD
sp2016,Chloranthus erectus,LC
sp2017,Chloranthus spicatus,LC
sp2018,Choerospondias axillaris,LC
sp2019,Choerospondias axillaris var. pubinervis,VU
sp2020,Chonemorpha eriostylis,LC
sp2021,Chonemorpha floccosa,VU
sp2022,Chonemorpha griffithii,NT
sp2023,Chonemorpha megacalyx,NT
sp2024,Chonemorpha parviflora,VU
sp2025,Chonemorpha splendens,VU
sp2026,Chonemorpha verrucosa,LC
sp2027,Chosenia arbutifolia,VU
sp2028,Chroesthes lanceolata,LC
sp2029,Chukrasia tabularis,LC
sp2030,Chunia bucklandioides,EN
sp2031,Chuniophoenix hainanensis,EN
sp2032,Cibotium barometz,LC
sp2033,Cinnamomum appelianum,LC
sp2034,Cinnamomum austrosinense,LC
sp2035,Cinnamomum austroyunnanense,NT
sp2036,Cinnamomum bejolghota,LC
sp2037,Cinnamomum bodinieri,LC
sp2038,Cinnamomum burmannii,LC
sp2039,Cinnamomum camphora,LC
sp2040,Cinnamomum chartophyllum,EN
sp2041,Cinnamomum contractum,NT
sp2042,Cinnamomum foveolatum,LC
sp2043,Cinnamomum glanduliferum,LC
sp2044,Cinnamomum heyneanum,LC
sp2045,Cinnamomum iners,LC
sp2046,Cinnamomum japonicum,VU
sp2047,Cinnamomum javanicum,NT
sp2048,Cinnamomum jensenianum,LC
sp2049,Cinnamomum kotoense,CR
sp2050,Cinnamomum kwangtungense,EN
sp2051,Cinnamomum liangii,LC
sp2052,Cinnamomum longepaniculatum,NT
sp2053,Cinnamomum longipetiolatum,NT
sp2054,Cinnamomum mairei,LC
sp2055,Cinnamomum micranthum,VU
sp2056,Cinnamomum migao,NT
sp2057,Cinnamomum mollifolium,EN
sp2058,Cinnamomum osmophloeum,VU
sp2059,Cinnamomum parthenoxylon,LC
sp2060,Cinnamomum pauciflorum,LC
sp2061,Cinnamomum pingbienense,LC
sp2062,Cinnamomum pittosporoides,NT
sp2063,Cinnamomum platyphyllum,VU
sp2064,Cinnamomum reticulatum,LC
sp2065,Cinnamomum rigidissimum,NT
sp2066,Cinnamomum rufotomentosum,VU
sp2067,Cinnamomum saxatile,LC
sp2068,Cinnamomum septentrionale,LC
sp2069,Cinnamomum subavenium,LC
sp2070,Cinnamomum tamala,LC
sp2071,Cinnamomum tenuipile,LC
sp2072,Cinnamomum tonkinense,VU
sp2073,Cinnamomum tsangii,LC
sp2074,Cinnamomum tsoi,NT
sp2075,Cinnamomum validinerve,NT
sp2076,Cinnamomum wilsonii,LC
sp2077,Cipadessa baccifera,LC
sp2078,Cissampelos pareira var. hirsuta,NT
sp2079,Cissus adnata,LC
sp2080,Cissus aristata,LC
sp2081,Cissus austroyunnanensis,LC
sp2082,Cissus elongata,LC
sp2083,Cissus hexangularis,LC
sp2084,Cissus pteroclada,LC
sp2085,Cissus repanda,LC
sp2086,Cissus repanda var. subferruginea,LC
sp2087,Cissus subtetragona,LC
sp2088,Citrus hystrix,NT
sp2089,Citrus japonica,EN
sp2090,Citrus maxima,LC
sp2091,Citrus medica,LC
sp2092,Citrus reticulata,LC
sp2093,Cladogynos orientalis,LC
sp2094,Cladrastis delavayi,LC
sp2095,Cladrastis parvifolia,EN
sp2096,Cladrastis platycarpa,LC
sp2097,Cladrastis scandens,VU
sp2098,Cladrastis wilsonii,LC
sp2099,Claoxylon brachyandrum,LC
sp2100,Claoxylon hainanense,LC
sp2101,Claoxylon indicum,LC
sp2102,Claoxylon khasianum,LC
sp2103,Claoxylon longifolium,LC
sp2104,Clausena dunniana,LC
sp2105,Clausena dunniana var. robusta,LC
sp2106,Clausena emarginata,LC
sp2107,Clausena excavata,DD
sp2108,Clausena lansium,LC
sp2109,Clausena lenis,LC
sp2110,Clausena odorata,NT
sp2111,Clausena vestita,NT
sp2112,Clausena yunnanensis,LC
sp2113,Clausena yunnanensis var. longgangensis,DD
sp2114,Cleghornia malaccensis,LC
sp2115,Cleidiocarpon cavaleriei,VU
sp2116,Cleidion bracteosum,LC
sp2117,Cleidion brevipetiolatum,LC
sp2118,Cleistanthus macrophyllus,LC
sp2119,Cleistanthus pedicellatus,LC
sp2120,Cleistanthus petelotii,LC
sp2121,Cleistanthus sumatranus,LC
sp2122,Cleistanthus tomentosus,NT
sp2123,Clematis acerifolia,LC
sp2124,Clematis acuminata var. longicaudata,LC
sp2125,Clematis akebioides,LC
sp2126,Clematis akoensis,LC
sp2127,Clematis alternata,NT
sp2128,Clematis apiifolia,LC
sp2129,Clematis armandii,LC
sp2130,Clematis baominiana,LC
sp2131,Clematis brevicaudata,LC
sp2132,Clematis brevipes,LC
sp2133,Clematis buchananiana,LC
sp2134,Clematis caudigera,DD
sp2135,Clematis chekiangensis,LC
sp2136,Clematis chinensis,LC
sp2137,Clematis chinensis var. anhweiensis,LC
sp2138,Clematis chinensis var. vestita,LC
sp2139,Clematis chingii,LC
sp2140,Clematis chiupehensis,LC
sp2141,Clematis chrysocoma,LC
sp2142,Clematis connata,LC
sp2143,Clematis connata var. pseudoconnata,LC
sp2144,Clematis corniculata,NT
sp2145,Clematis courtoisii,LC
sp2146,Clematis crassifolia,LC
sp2147,Clematis crassipes,LC
sp2148,Clematis delavayi,LC
sp2149,Clematis delavayi var. calvescens,LC
sp2150,Clematis delavayi var. limprichtii,LC
sp2151,Clematis delavayi var. spinescens,LC
sp2152,Clematis dilatata,NT
sp2153,Clematis fasciculiflora,LC
sp2154,Clematis fasciculiflora var. angustifolia,DD
sp2155,Clematis finetiana var. pedata,DD
sp2156,Clematis formosana,LC
sp2157,Clematis fruticosa,LC
sp2158,Clematis fruticosa var. canescens,LC
sp2159,Clematis fulvicoma,LC
sp2160,Clematis gouriana,LC
sp2161,Clematis gracilifolia,VU
sp2162,Clematis gracilifolia var. dissectifolia,LC
sp2163,Clematis gracilifolia var. macrantha,LC
sp2164,Clematis grandidentata,NT
sp2165,Clematis grandidentata var. likiangensis,LC
sp2166,Clematis gratopsis,LC
sp2167,Clematis grewiiflora,LC
sp2168,Clematis hainanensis,DD
sp2169,Clematis hancockiana,NT
sp2170,Clematis henryi,LC
sp2171,Clematis iliensis,LC
sp2172,Clematis intricata,LC
sp2173,Clematis javana,LC
sp2174,Clematis jialasaensis,DD
sp2175,Clematis jingdungensis,LC
sp2176,Clematis jinzhaiensis,DD
sp2177,Clematis kirilowii,LC
sp2178,Clematis kirilowii var. chanetii,LC
sp2179,Clematis koreana,LC
sp2180,Clematis kweichowensis,LC
sp2181,Clematis lancifolia,LC
sp2182,Clematis lancifolia var. ternata,DD
sp2183,Clematis laxistrigosa,DD
sp2184,Clematis leschenaultiana,LC
sp2185,Clematis longistyla,LC
sp2186,Clematis macropetala,LC
sp2187,Clematis macropetala var. albiflora,LC
sp2188,Clematis mashanensis,DD
sp2189,Clematis menglaensis,LC
sp2190,Clematis metuoensis,LC
sp2191,Clematis meyeniana,LC
sp2192,Clematis meyeniana var. granulata,LC
sp2193,Clematis montana,LC
sp2194,Clematis montana var. glabrescens,LC
sp2195,Clematis montana var. longipes,LC
sp2196,Clematis morii,LC
sp2197,Clematis nannophylla,LC
sp2198,Clematis nannophylla var. foliosa,DD
sp2199,Clematis napaulensis,LC
sp2200,Clematis nukiangensis,LC
sp2201,Clematis obscura,LC
sp2202,Clematis parviloba,LC
sp2203,Clematis parviloba var. bartletti,LC
sp2204,Clematis pashanensis,LC
sp2205,Clematis peterae,LC
sp2206,Clematis pianmaensis,DD
sp2207,Clematis pinnata,LC
sp2208,Clematis potaninii,LC
sp2209,Clematis pseudootophora,LC
sp2210,Clematis pseudopogonandra,LC
sp2211,Clematis psilandra,LC
sp2212,Clematis puberula var. ganpiniana,LC
sp2213,Clematis quinquefoliolata,LC
sp2214,Clematis ranunculoides,LC
sp2215,Clematis rehderiana,LC
sp2216,Clematis rubifolia,LC
sp2217,Clematis serratifolia,LC
sp2218,Clematis shensiensis,LC
sp2219,Clematis siamensis,LC
sp2220,Clematis sibirica,DD
sp2221,Clematis sibirica var. ochotensis,LC
sp2222,Clematis smilacifolia,LC
sp2223,Clematis smilacifolia var. peltata,LC
sp2224,Clematis songorica,LC
sp2225,Clematis songorica var. aspleniifolia,LC
sp2226,Clematis tangutica,LC
sp2227,Clematis tashiroi,LC
sp2228,Clematis tatarinowii,LC
sp2229,Clematis terniflora,NT
sp2230,Clematis tibetana var. vernayi,LC
sp2231,Clematis tsugetorum,LC
sp2232,Clematis uncinata,LC
sp2233,Clematis uncinata var. coriacea,LC
sp2234,Clematis uncinata var. okinawensis,LC
sp2235,Clematis urophylla,LC
sp2236,Clematis vaniotii,LC
sp2237,Clematis venusta,NT
sp2238,Clematis viridis,LC
sp2239,Clematis yuanjiangensis,LC
sp2240,Clematis yunnanensis,NT
sp2241,Clematoclethra scandens,EN
sp2242,Clematoclethra scandens ssp. actinidioides,DD
sp2243,Clematoclethra scandens ssp. hemsleyi,DD
sp2244,Clematoclethra scandens ssp. tomentella,DD
sp2245,Clerodendrum bracteatum,LC
sp2246,Clerodendrum bungei,LC
sp2247,Clerodendrum bungei var. megacalyx,DD
sp2248,Clerodendrum canescens,LC
sp2249,Clerodendrum chinense var. simplex,DD
sp2250,Clerodendrum confine,LC
sp2251,Clerodendrum cyrtophyllum,VU
sp2252,Clerodendrum ervatamioides,LC
sp2253,Clerodendrum fortunatum,LC
sp2254,Clerodendrum griffithianum,LC
sp2255,Clerodendrum hainanense,LC
sp2256,Clerodendrum henryi,LC
sp2257,Clerodendrum indicum,LC
sp2258,Clerodendrum inerme,LC
sp2259,Clerodendrum intermedium,LC
sp2260,Clerodendrum japonicum,LC
sp2261,Clerodendrum kaichianum,LC
sp2262,Clerodendrum kiangsiense,LC
sp2263,Clerodendrum longilimbum,LC
sp2264,Clerodendrum luteopunctatum,LC
sp2265,Clerodendrum mandarinorum,LC
sp2266,Clerodendrum paniculatum,LC
sp2267,Clerodendrum peii,LC
sp2268,Clerodendrum serratum,LC
sp2269,Clerodendrum serratum var. amplexifolium,LC
sp2270,Clerodendrum serratum var. herbaceum,LC
sp2271,Clerodendrum serratum var. wallichii,LC
sp2272,Clerodendrum subscaposum,LC
sp2273,Clerodendrum trichotomum,LC
sp2274,Clerodendrum villosum,LC
sp2275,Clerodendrum yunnanense,LC
sp2276,Clerodendrum yunnanense var. linearilobum,LC
sp2277,Clethra barbinervis,LC
sp2278,Clethra bodinieri,LC
sp2279,Clethra delavayi,LC
sp2280,Clethra fabri,LC
sp2281,Clethra fargesii,EN
sp2282,Clethra kaipoensis,LC
sp2283,Clethra petelotii,CR
sp2284,Cleyera incornuta,LC
sp2285,Cleyera japonica,LC
sp2286,Cleyera japonica var. wallichiana,LC
sp2287,Cleyera lipingensis,LC
sp2288,Cleyera longicarpa,LC
sp2289,Cleyera obovata,VU
sp2290,Cleyera obscurinervia,LC
sp2291,Cleyera pachyphylla,LC
sp2292,Cleyera parvifolia,NT
sp2293,Cleyera yangchunensis,CR
sp2294,Clitoria hanceana,LC
sp2295,Clitoria mariana,LC
sp2296,Cnesmone hainanensis,LC
sp2297,Cnesmone mairei,LC
sp2298,Cnesmone tonkinensis,LC
sp2299,Cnestis palala,LC
sp2300,Cocculus laurifolius,LC
sp2301,Cocculus orbiculatus var. mollis,LC
sp2302,Colebrookea oppositifolia,LC
sp2303,Coleus xanthanthus,LC
sp2304,Colona floribunda,LC
sp2305,Colquhounia coccinea,LC
sp2306,Colquhounia compta,LC
sp2307,Colquhounia elegans,LC
sp2308,Colquhounia seguinii,LC
sp2309,Colubrina asiatica,LC
sp2310,Colutea delavayi,VU
sp2311,Comarum salesovianum,LC
sp2312,Combretum alfredii,LC
sp2313,Combretum griffithii,LC
sp2314,Combretum griffithii var. yunnanense,LC
sp2315,Combretum latifolium,LC
sp2316,Combretum pilosum,LC
sp2317,Combretum punctatum,LC
sp2318,Combretum punctatum var. squamosum,LC
sp2319,Combretum roxburghii,LC
sp2320,Combretum sundaicum,LC
sp2321,Combretum wallichii,LC
sp2322,Commersonia bartramia,LC
sp2323,Commicarpus lantsangensis,LC
sp2324,Congea chinensis,LC
sp2325,Congea tomentosa,LC
sp2326,Connarus paniculatus,LC
sp2327,Connarus yunnanensis,LC
sp2328,Convolvulus fruticosus,LC
sp2329,Convolvulus gortschakovii,LC
sp2330,Convolvulus tragacanthoides,LC
sp2331,Coptosapelta diffusa,LC
sp2332,Cordia cochinchinensis,LC
sp2333,Cordia dichotoma,LC
sp2334,Cordia furcans,LC
sp2335,Corethrodendron fruticosum,LC
sp2336,Corethrodendron fruticosum var. mongolicum,LC
sp2337,Corethrodendron lignosum,LC
sp2338,Corethrodendron multijugum,LC
sp2339,Corethrodendron scoparium,LC
sp2340,Coriaria intermedia,LC
sp2341,Coriaria nepalensis,LC
sp2342,Coriaria terminalis,LC
sp2343,Cornus alba,LC
sp2344,Cornus austrosinensis,LC
sp2345,Cornus bretschneideri,LC
sp2346,Cornus capitata,LC
sp2347,Cornus chinensis,LC
sp2348,Cornus controversa,LC
sp2349,Cornus coreana,EN
sp2350,Cornus elliptica,LC
sp2351,Cornus hemsleyi,LC
sp2352,Cornus hongkongensis,NT
sp2353,Cornus hongkongensis ssp. elegans,LC
sp2354,Cornus hongkongensis ssp. ferruginea,LC
sp2355,Cornus hongkongensis ssp. gigantea,LC
sp2356,Cornus hongkongensis ssp. melanotricha,LC
sp2357,Cornus hongkongensis ssp. tonkinensis,LC
sp2358,Cornus koehneana,LC
sp2359,Cornus kousa ssp. chinensis,LC
sp2360,Cornus macrophylla,LC
sp2361,Cornus macrophylla var. stracheyi,LC
sp2362,Cornus multinervosa,LC
sp2363,Cornus oblonga,LC
sp2364,Cornus oblonga var. glabrescens,LC
sp2365,Cornus oblonga var. griffithii,LC
sp2366,Cornus officinalis,NT
sp2367,Cornus oligophlebia,LC
sp2368,Cornus papillosa,LC
sp2369,Cornus parviflora,LC
sp2370,Cornus quinquenervis,LC
sp2371,Cornus schindleri,LC
sp2372,Cornus schindleri ssp. poliophylla,LC
sp2373,Cornus ulotricha,LC
sp2374,Cornus walteri,LC
sp2375,Cornus wilsoniana,LC
sp2376,Corylopsis alnifolia,VU
sp2377,Corylopsis brevistyla,VU
sp2378,Corylopsis glandulifera,NT
sp2379,Corylopsis glaucescens,LC
sp2380,Corylopsis henryi,LC
sp2381,Corylopsis microcarpa,EN
sp2382,Corylopsis multiflora,LC
sp2383,Corylopsis multiflora var. nivea,CR
sp2384,Corylopsis obovata,EN
sp2385,Corylopsis omeiensis,EN
sp2386,Corylopsis pauciflora,DD
sp2387,Corylopsis platypetala,LC
sp2388,Corylopsis rotundifolia,EN
sp2389,Corylopsis sinensis,LC
sp2390,Corylopsis sinensis var. calvescens,LC
sp2391,Corylopsis stelligera,LC
sp2392,Corylopsis trabeculosa,EN
sp2393,Corylopsis veitchiana,NT
sp2394,Corylopsis velutina,VU
sp2395,Corylopsis willmottiae,LC
sp2396,Corylopsis yui,VU
sp2397,Corylopsis yunnanensis,LC
sp2398,Corylus chinensis,LC
sp2399,Corylus fargesii,LC
sp2400,Corylus ferox,LC
sp2401,Corylus ferox var. thibetica,LC
sp2402,Corylus heterophylla,DD
sp2403,Corylus heterophylla var. sutchuanensis,LC
sp2404,Corylus mandshurica,LC
sp2405,Corylus yunnanensis,LC
sp2406,Cotinus coggygria,NT
sp2407,Cotinus coggygria var. cinerea,LC
sp2408,Cotinus coggygria var. glaucophylla,LC
sp2409,Cotinus nana,VU
sp2410,Cotinus szechuanensis,LC
sp2411,Cotoneaster acuminatus,LC
sp2412,Cotoneaster acutifolius,DD
sp2413,Cotoneaster acutifolius var. villosulus,LC
sp2414,Cotoneaster adpressus,LC
sp2415,Cotoneaster affinis,LC
sp2416,Cotoneaster ambiguus,DD
sp2417,Cotoneaster apiculatus,LC
sp2418,Cotoneaster bullatus,LC
sp2419,Cotoneaster bullatus var. macrophyllus,EN
sp2420,Cotoneaster buxifolius,LC
sp2421,Cotoneaster buxifolius var. marginatus,DD
sp2422,Cotoneaster chengkangensis,DD
sp2423,Cotoneaster conspicuus,LC
sp2424,Cotoneaster coriaceus,LC
sp2425,Cotoneaster dammeri,DD
sp2426,Cotoneaster dielsianus,LC
sp2427,Cotoneaster dielsianus var. elegans,LC
sp2428,Cotoneaster divaricatus,LC
sp2429,Cotoneaster fangianus,NT
sp2430,Cotoneaster foveolatus,DD
sp2431,Cotoneaster franchetii,LC
sp2432,Cotoneaster frigidus,LC
sp2433,Cotoneaster glabratus,LC
sp2434,Cotoneaster glaucophyllus,LC
sp2435,Cotoneaster glaucophyllus var. meiophyllus,LC
sp2436,Cotoneaster glomerulatus,VU
sp2437,Cotoneaster gracilis,LC
sp2438,Cotoneaster harrovianus,LC
sp2439,Cotoneaster harrysmithii,LC
sp2440,Cotoneaster hebephyllus,LC
sp2441,Cotoneaster hebephyllus var. incanus,NT
sp2442,Cotoneaster horizontalis,VU
sp2443,Cotoneaster horizontalis var. perpusillus,LC
sp2444,Cotoneaster integerrimus,LC
sp2445,Cotoneaster langei,NT
sp2446,Cotoneaster melanocarpus,LC
sp2447,Cotoneaster microphyllus,VU
sp2448,Cotoneaster microphyllus var. cochleatus,DD
sp2449,Cotoneaster microphyllus var. glacialis,DD
sp2450,Cotoneaster microphyllus var. thymifolius,DD
sp2451,Cotoneaster mongolicus,LC
sp2452,Cotoneaster moupinensis,LC
sp2453,Cotoneaster multiflorus,LC
sp2454,Cotoneaster multiflorus var. atropurpureus,LC
sp2455,Cotoneaster multiflorus var. calocarpus,NT
sp2456,Cotoneaster nitens,NT
sp2457,Cotoneaster nitidifolius,DD
sp2458,Cotoneaster nitidus,LC
sp2459,Cotoneaster obscurus,LC
sp2460,Cotoneaster oliganthus,LC
sp2461,Cotoneaster pannosus,DD
sp2462,Cotoneaster reticulatus,NT
sp2463,Cotoneaster rhytidophyllus,LC
sp2464,Cotoneaster rotundifolius,LC
sp2465,Cotoneaster rubens,LC
sp2466,Cotoneaster rubens var. minimus,LC
sp2467,Cotoneaster salicifolius,LC
sp2468,Cotoneaster salicifolius var. angustus,LC
sp2469,Cotoneaster salicifolius var. rugosus,LC
sp2470,Cotoneaster schantungensis,VU
sp2471,Cotoneaster sherriffii,LC
sp2472,Cotoneaster silvestrii,LC
