code,name,level
sp133,Acer pentaphyllum,VU
sp134,Acer pictum ssp. macropterum,LC
sp135,Acer pictum ssp. mono,LC
sp136,Acer pictum ssp. pubigerum,LC
sp137,Acer pictum ssp. tricuspis,LC
sp138,Acer pilosum,VU
sp139,Acer pilosum var. stenolobum,LC
sp140,Acer pinnatinervium,LC
sp141,Acer poliophyllum,VU
sp142,Acer pseudosieboldianum,LC
sp143,Acer pubinerve,LC
sp144,Acer pubipetiolatum,VU
sp145,Acer pubipetiolatum var. pingpienense,LC
sp146,Acer shenkanense,LC
sp147,Acer sikkimense,VU
sp148,Acer sinense,LC
sp149,Acer sino-oblongum,EN
sp150,Acer sinopurpurascens,LC
sp151,Acer stachyophyllum,VU
sp152,Acer stachyophyllum ssp. betulifolium,LC
sp153,Acer sterculiaceum,VU
sp154,Acer sterculiaceum ssp. franchetii,LC
sp155,Acer sutchuenense,EN
sp156,Acer sycopseoides,LC
sp157,Acer tataricum ssp. ginnala,LC
sp158,Acer tataricum ssp. semenovii,LC
sp159,Acer tataricum ssp. theiferum,LC
sp160,Acer tegmentosum,NT
sp161,Acer tenellum,CR
sp162,Acer tenellum var. septemlobum,CR
sp163,Acer thomsonii,VU
sp164,Acer tibetense,EN
sp165,Acer tonkinense,LC
sp166,Acer triflorum,NT
sp167,Acer truncatum,LC
sp168,Acer tsinglingense,VU
sp169,Acer tutcheri,VU
sp170,Acer ukurunduense,NT
sp171,Acer wangchii,VU
sp172,Acer wardii,EN
sp173,Acer wilsonii,LC
sp174,Acer yui,EN
sp175,Acidosasa chienouensis,LC
sp176,Acidosasa lingchuanensis,DD
sp177,Acidosasa nanunica,LC
sp178,Acidosasa notata,LC
sp179,Acidosasa purpurea,LC
sp180,Acrocarpus fraxinifolius,VU
sp181,Acronychia pedunculata,LC
sp182,Actephila excelsa,LC
sp183,Actephila merrilliana,LC
sp184,Actinidia arguta,LC
sp185,Actinidia callosa var. acuminata,CR
sp186,Actinidia chengkouensis,EN
sp187,Actinidia chinensis,VU
sp188,Actinidia chrysantha,VU
sp189,Actinidia eriantha,LC
sp190,Actinidia farinosa,VU
sp191,Actinidia fasciculoides,VU
sp192,Actinidia fasciculoides var. cuneata,EN
sp193,Actinidia fasciculoides var. orbiculata,EN
sp194,Actinidia fortunatii,NT
sp195,Actinidia fulvicoma,VU
sp196,Actinidia fulvicoma var. cinerascens,VU
sp197,Actinidia fulvicoma var. hirsuta,VU
sp198,Actinidia fulvicoma var. pachyphylla,VU
sp199,Actinidia grandiflora,CR
sp200,Actinidia hemsleyana,VU
sp201,Actinidia henryi,VU
sp202,Actinidia kolomikta,LC
sp203,Actinidia laevissima,VU
sp204,Actinidia lanceolata,VU
sp205,Actinidia latifolia var. mollis,VU
sp206,Actinidia liangguangensis,NT
sp207,Actinidia melanandra var. glabrescens,CR
sp208,Actinidia obovata,EN
sp209,Actinidia pilosula,VU
sp210,Actinidia polygama,LC
sp211,Actinidia rubricaulis,VU
sp212,Actinidia rubricaulis var. coriacea,LC
sp213,Actinidia rudis,VU
sp214,Actinidia rudis var. glabricaulis,VU
sp215,Actinidia rufotricha,VU
sp216,Actinidia rufotricha var. glomerata,EN
sp217,Actinidia sabiifolia,VU
sp218,Actinidia sorbifolia,VU
sp219,Actinidia stellatopilosa,CR
sp220,Actinidia styracifolia,VU
sp221,Actinidia suberifolia,CR
sp222,Actinidia tetramera,NT
sp223,Actinidia trichogyna,VU
sp224,Actinidia ulmifolia,EN
sp225,Actinidia umbelloides,VU
sp226,Actinidia valvata,NT
sp227,Actinidia venosa,LC
sp228,Actinidia vitifolia,VU
sp229,Actinidia zhejiangensis,CR
sp230,Actinodaphne acuminata,LC
sp231,Actinodaphne cupularis,LC
sp232,Actinodaphne forrestii,LC
sp233,Actinodaphne glaucina,VU
sp234,Actinodaphne henryi,VU
sp235,Actinodaphne koshepangii,LC
