code,Species,Type,Qin,full_rcp26,full_rcp60,full_rcp85,buffer_rcp26,buffer_rcp60,buffer_rcp85,stable_rcp26,stable_rcp60,stable_rcp85,Category
sp1141,Betula insignis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1142,Betula jinpingensis,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1143,Betula luminifera,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp1144,Betula microphylla,narrow-ranged,LC,NT,NT,NT,NT,VU,EN,VU,EN,VU,Partial gap
sp1145,Betula middendorfii,wide-ranged,LC,VU,EN,NT,EN,VU,NT,CR,EN,CR,Gap
sp1146,Betula ovalifolia,wide-ranged,LC,CR,VU,VU,VU,CR,VU,EN,EN,CR,Gap
sp1147,Betula pendula,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp1148,Betula platyphylla,wide-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp1149,Betula potaninii,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1150,Betula rotundifolia,wide-ranged,LC,LC,LC,LC,NT,LC,LC,NT,NT,NT,Partial gap
sp1151,Betula schmidtii,wide-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1152,Betula tianschanica,narrow-ranged,LC,LC,LC,LC,EN,EN,CR,CR,CR,EN,No protected
sp1153,Betula trichogemma,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,VU,Gap
sp1154,Betula utilis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1155,Bhesa robusta,narrow-ranged,CR,NT,CR,VU,VU,CR,EN,CR,CR,EN,Partial gap
sp1156,Bischofia javanica,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp1157,Bischofia polycarpa,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1158,Blachia pentzii,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1159,Blachia siamensis,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1160,Blastus borneensis,wide-ranged,LC,LC,LC,NT,VU,NT,VU,EN,EN,EN,Gap
sp1161,Blastus brevissimus,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,VU,Gap
sp1162,Blastus cochinchinensis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1163,Blastus mollissimus,wide-ranged,LC,EN,CR,LC,CR,EX,CR,CR,EX,EX,Gap
sp1164,Blastus pauciflorus,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1165,Blastus setulosus,wide-ranged,LC,EN,CR,LC,CR,EX,CR,CR,EX,EX,Gap
sp1166,Blastus tenuifolius,wide-ranged,NT,CR,CR,LC,CR,EX,CR,CR,CR,EX,Partial gap
sp1167,Blastus tsaii,narrow-ranged,NT,LC,LC,LC,LC,LC,CR,CR,EX,NT,Gap
sp1168,Blinkworthia convolvuloides,wide-ranged,LC,LC,LC,LC,LC,LC,LC,EN,EN,NT,Gap
sp1169,Boehmeria clidemioides,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp1170,Boehmeria clidemioides var. diffusa,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1171,Boehmeria conica,narrow-ranged,LC,EN,LC,LC,CR,LC,LC,NT,NT,EX,Gap
sp1172,Boehmeria densiflora,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1173,Boehmeria dolichostachya,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1174,Boehmeria dolichostachya var. mollis,narrow-ranged,LC,LC,NT,LC,LC,NT,NT,EX,EX,EX,Gap
sp1175,Boehmeria glomerulifera,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1176,Boehmeria hamiltoniana,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1177,Boehmeria japonica,wide-ranged,LC,VU,LC,NT,NT,VU,NT,NT,VU,VU,Covered
sp1178,Boehmeria lanceolata,wide-ranged,LC,LC,NT,LC,NT,LC,NT,EN,EN,NT,Partial gap
sp1179,Boehmeria lohuiensis,narrow-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1180,Boehmeria macrophylla,wide-ranged,LC,LC,LC,LC,NT,LC,LC,NT,NT,NT,Partial gap
sp1181,Boehmeria macrophylla var. canescens,narrow-ranged,LC,LC,EX,EX,LC,EX,EX,EX,EX,EN,Partial gap
sp1182,Boehmeria macrophylla var. scabrella,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1183,Boehmeria nivea,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1184,Boehmeria nivea var. tenacissima,wide-ranged,LC,LC,LC,LC,NT,LC,LC,VU,VU,VU,Gap
sp1185,Boehmeria pilosiuscula,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1186,Boehmeria polystachya,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1187,Boehmeria siamensis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1188,Boehmeria tomentosa,wide-ranged,LC,LC,LC,LC,LC,NT,LC,NT,NT,NT,Partial gap
sp1189,Boehmeria tricuspis,wide-ranged,LC,NT,LC,LC,LC,NT,LC,NT,NT,NT,Partial gap
sp1190,Boehmeria zollingeriana,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1191,Boehmeria zollingeriana var. blinii,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1192,Boeica porosa,narrow-ranged,LC,LC,VU,VU,LC,EN,EN,EN,CR,NT,Partial gap
sp1193,Bombax cambodiense,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,No protected
sp1194,Bombax ceiba,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1195,Bombax insigne var. tenebrosum,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1196,Bonia amplexicaulis,narrow-ranged,VU,LC,LC,LC,LC,CR,NT,EX,CR,VU,Gap
sp1197,Bonia levigata,narrow-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1198,Bonia parvifloscula,narrow-ranged,VU,LC,LC,LC,LC,LC,LC,EN,EN,NT,Gap
sp1199,Bonia saxatilis,wide-ranged,LC,EN,CR,CR,CR,CR,CR,CR,EX,CR,Gap
sp1200,Boniodendron minus,wide-ranged,VU,NT,VU,EN,VU,VU,EN,EN,EN,VU,Partial gap
sp1201,Borthwickia trifoliata,wide-ranged,EN,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1202,Bougainvillea glabra,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1203,Bousigonia angustifolia,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1204,Bowringia callicarpa,wide-ranged,LC,LC,LC,LC,NT,LC,LC,NT,NT,NT,Partial gap
sp1205,Brachytome hainanensis,wide-ranged,NT,LC,LC,LC,LC,NT,LC,NT,NT,NT,Partial gap
sp1206,Brachytome hirtellata,wide-ranged,DD,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1207,Brachytome hirtellata var. glabrescens,wide-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1208,Brainea insignis,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1209,Brandisia cauliflora,narrow-ranged,LC,VU,EX,EX,VU,EX,EX,EX,EX,VU,Gap
sp1210,Brandisia discolor,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1211,Brandisia glabrescens var. hypochrysa,narrow-ranged,NT,LC,LC,LC,LC,LC,LC,VU,EN,NT,Gap
sp1212,Brandisia hancei,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp1213,Brandisia kwangsiensis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1214,Brandisia racemosa,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1215,Brandisia rosea,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1216,Brandisia rosea var. flava,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1217,Brandisia swinglei,wide-ranged,LC,LC,LC,LC,NT,VU,NT,NT,VU,EN,Partial gap
sp1218,Brassaiopsis angustifolia,narrow-ranged,LC,EX,EX,EX,EX,EX,EX,EX,EX,EX,Gap
sp1219,Brassaiopsis chengkangensis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,VU,NT,NT,Partial gap
sp1220,Brassaiopsis ciliata,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1221,Brassaiopsis fatsioides,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1222,Brassaiopsis ferruginea,wide-ranged,DD,VU,EN,CR,CR,EN,CR,CR,CR,EN,Gap
sp1223,Brassaiopsis ficifolia,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1224,Brassaiopsis glomerulata,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp1225,Brassaiopsis gracilis,wide-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1226,Brassaiopsis hainla,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1227,Brassaiopsis hispida,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1228,Brassaiopsis kwangsiensis,wide-ranged,LC,LC,VU,EN,EN,LC,EN,EN,CR,VU,Gap
sp1229,Brassaiopsis producta,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1230,Brassaiopsis quercifolia,wide-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1231,Brassaiopsis shweliensis,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1232,Brassaiopsis stellata,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1233,Brassaiopsis tripteris,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1234,Bredia biglandularis,narrow-ranged,NT,LC,LC,LC,LC,CR,EN,CR,EN,NT,Partial gap
sp1235,Bredia fordii,wide-ranged,LC,NT,LC,LC,LC,VU,LC,NT,NT,VU,Partial gap
sp1236,Bredia hirsuta var. scandens,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,No protected
sp1237,Bredia longiloba,wide-ranged,LC,EN,LC,LC,LC,EN,NT,NT,VU,CR,Gap
sp1238,Bredia microphylla,wide-ranged,LC,EX,EX,EX,EX,EX,EX,EX,EX,EX,Partial gap
sp1239,Bredia quadrangularis,wide-ranged,LC,NT,LC,NT,LC,NT,NT,NT,NT,VU,Partial gap
sp1240,Bredia sessilifolia,wide-ranged,LC,LC,EN,EN,CR,LC,CR,CR,CR,EN,Gap
sp1241,Bredia sinensis,wide-ranged,LC,NT,LC,LC,LC,NT,LC,NT,NT,VU,Partial gap
sp1242,Bretschneidera sinensis,wide-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1243,Breynia fruticosa,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1244,Breynia retusa,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp1245,Breynia rostrata,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp1246,Breynia vitis-idaea,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1247,Bridelia affinis,wide-ranged,LC,LC,CR,LC,EX,CR,EX,EX,EX,CR,Gap
sp1248,Bridelia balansae,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1249,Bridelia glauca,wide-ranged,LC,LC,NT,NT,NT,LC,VU,VU,EN,VU,Gap
sp1250,Bridelia stipularis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1251,Bridelia tomentosa,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1252,Broussonetia kaempferi var. australis,wide-ranged,LC,NT,LC,NT,LC,NT,NT,NT,NT,NT,Partial gap
sp1253,Broussonetia kazinoki,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1254,Broussonetia kurzii,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,EN,Partial gap
sp1255,Broussonetia papyrifera,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp1256,Brucea javanica,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1257,Brucea mollis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1258,Bruinsmia polysperma,wide-ranged,EN,EN,LC,LC,LC,EN,LC,NT,NT,CR,Gap
sp1259,Buchanania arborescens,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,No protected
sp1260,Buchanania latifolia,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1261,Buchanania microphylla,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1262,Buchanania yunnanensis,narrow-ranged,EN,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1263,Buckleya graebneriana,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1264,Buckleya henryi,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,VU,Partial gap
sp1265,Buddleja albiflora,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp1266,Buddleja alternifolia,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1267,Buddleja asiatica,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1268,Buddleja brachystachya,wide-ranged,LC,LC,LC,LC,LC,LC,LC,EN,EN,EN,Partial gap
sp1269,Buddleja candida,wide-ranged,LC,LC,LC,LC,LC,NT,LC,NT,NT,NT,Partial gap
sp1270,Buddleja colvilei,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1271,Buddleja crispa,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp1272,Buddleja curviflora,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,EN,EN,EN,No protected
sp1273,Buddleja davidii,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp1274,Buddleja delavayi,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1275,Buddleja fallowiana,wide-ranged,LC,LC,LC,LC,LC,LC,LC,VU,VU,EN,Partial gap
sp1276,Buddleja forrestii,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1277,Buddleja lindleyana,wide-ranged,LC,LC,LC,LC,LC,NT,LC,NT,NT,NT,Partial gap
sp1278,Buddleja macrostachya,wide-ranged,LC,LC,NT,NT,VU,VU,VU,VU,EN,EN,Gap
sp1279,Buddleja myriantha,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp1280,Buddleja nivea,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1281,Buddleja officinalis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp1282,Buddleja paniculata,wide-ranged,LC,NT,NT,NT,NT,VU,VU,VU,EN,EN,Partial gap
sp1283,Buddleja yunnanensis,wide-ranged,VU,NT,LC,LC,LC,NT,LC,NT,NT,VU,Gap
sp1284,Burretiodendron esquirolii,wide-ranged,VU,LC,EN,VU,CR,LC,CR,CR,CR,NT,Gap
sp1285,Burretiodendron kydiifolium,narrow-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1286,Butea monosperma,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1287,Buxus austroyunnanensis,wide-ranged,EN,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1288,Buxus hainanensis,narrow-ranged,EN,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1289,Buxus harlandii,wide-ranged,LC,VU,NT,NT,NT,VU,NT,NT,VU,VU,Partial gap
sp1290,Buxus hebecarpa,narrow-ranged,EN,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1291,Buxus henryi,wide-ranged,LC,EN,EN,CR,EN,EN,CR,EN,CR,EN,Gap
sp1292,Buxus ichangensis,wide-ranged,CR,EN,CR,EN,CR,EN,EN,CR,CR,CR,Gap
sp1293,Buxus megistophylla,wide-ranged,LC,LC,LC,LC,LC,NT,LC,NT,NT,EN,Partial gap
sp1294,Buxus mollicula var. glabra,wide-ranged,EN,LC,LC,LC,LC,NT,LC,VU,VU,EN,Gap
sp1295,Buxus myrica,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1296,Buxus myrica var. angustifolia,wide-ranged,NT,LC,NT,LC,NT,LC,NT,EN,EN,NT,Gap
sp1297,Buxus rugulosa,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,VU,Partial gap
sp1298,Buxus rugulosa var. rupicola,wide-ranged,LC,LC,LC,LC,LC,LC,LC,CR,CR,CR,Gap
sp1299,Buxus sinica,wide-ranged,LC,VU,NT,NT,NT,VU,NT,NT,NT,VU,Covered
sp1300,Buxus sinica var. intermedia,wide-ranged,LC,EX,EX,EX,EX,EX,EX,EX,EX,EX,Gap
sp1301,Buxus stenophylla,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1302,Byttneria grandifolia,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1303,Byttneria integrifolia,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1304,Caesalpinia bonduc,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp1305,Caesalpinia caesia,wide-ranged,VU,LC,LC,LC,NT,LC,NT,VU,EN,NT,Gap
sp1306,Caesalpinia cucullata,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1307,Caesalpinia decapetala,wide-ranged,LC,LC,NT,LC,NT,LC,LC,NT,NT,NT,Partial gap
sp1308,Caesalpinia enneaphylla,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1309,Caesalpinia hymenocarpa,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1310,Caesalpinia magnifoliolata,wide-ranged,LC,LC,NT,LC,VU,LC,LC,VU,NT,NT,Partial gap
sp1311,Caesalpinia millettii,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1312,Caesalpinia mimosoides,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,VU,NT,Gap
sp1313,Caesalpinia minax,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1314,Caesalpinia pulcherrima,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1315,Caesalpinia sappan,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1316,Caesalpinia sinensis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1317,Caesalpinia tortuosa,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1318,Caesalpinia vernalis,wide-ranged,LC,LC,LC,LC,LC,NT,LC,NT,NT,VU,Gap
sp1319,Cajanus cajan,wide-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1320,Cajanus crassus,wide-ranged,LC,LC,EN,VU,CR,LC,CR,CR,CR,NT,Gap
sp1321,Cajanus grandiflorus,wide-ranged,LC,LC,LC,LC,LC,LC,LC,VU,VU,NT,Gap
sp1322,Calamus balansaeanus,wide-ranged,LC,LC,NT,LC,VU,LC,LC,EN,EN,NT,Partial gap
sp1323,Calamus balansaeanus var. castaneolepis,wide-ranged,LC,LC,NT,LC,CR,CR,CR,CR,CR,EX,Partial gap
sp1324,Calamus bonianus,wide-ranged,LC,LC,NT,LC,NT,LC,NT,VU,VU,NT,Gap
sp1325,Calamus dianbaiensis,narrow-ranged,VU,LC,LC,LC,LC,LC,LC,EN,EN,VU,Gap
sp1326,Calamus distichus var. shangsiensis,narrow-ranged,VU,LC,LC,LC,LC,VU,VU,CR,CR,NT,Partial gap
sp1327,Calamus egregius,wide-ranged,VU,NT,NT,NT,VU,NT,VU,VU,VU,NT,Gap
sp1328,Calamus faberi,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1329,Calamus feanus var. medogensis,wide-ranged,VU,VU,NT,NT,NT,VU,NT,VU,VU,VU,Gap
sp1330,Calamus flagellum,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1331,Calamus formosanus,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,No protected
sp1332,Calamus gracilis,wide-ranged,LC,LC,EN,EN,EN,LC,EN,CR,CR,NT,Gap
sp1333,Calamus guangxiensis,narrow-ranged,VU,EN,EX,CR,EN,EX,CR,EX,EX,CR,Gap
sp1334,Calamus henryanus,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1335,Calamus hoplites,wide-ranged,LC,LC,LC,LC,LC,NT,LC,NT,VU,NT,Partial gap
sp1336,Calamus karinensis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,VU,Partial gap
sp1337,Calamus macrorrhynchus,narrow-ranged,LC,LC,LC,LC,LC,LC,LC,VU,VU,NT,Gap
sp1338,Calamus melanochrous,wide-ranged,LC,CR,EX,EN,EX,EX,EX,EX,EX,EX,Partial gap
sp1339,Calamus multispicatus,narrow-ranged,LC,VU,CR,EX,VU,CR,EX,CR,EX,EN,Gap
sp1340,Calamus nambariensis,wide-ranged,EN,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1341,Calamus obovoideus,narrow-ranged,CR,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1342,Calamus pulchellus,narrow-ranged,EN,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1343,Calamus rhabdocladus,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1344,Calamus simplicifolius,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1345,Calamus tetradactyloides,wide-ranged,EN,LC,NT,LC,VU,LC,LC,VU,VU,NT,Gap
sp1346,Calamus tetradactylus,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1347,Calamus thysanolepis,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1348,Calamus wailong,wide-ranged,CR,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1349,Calamus walkeri,wide-ranged,VU,LC,LC,LC,LC,LC,LC,VU,VU,EN,Gap
sp1350,Calamus yangchunensis,narrow-ranged,VU,EX,CR,CR,EX,CR,EX,CR,EX,EX,Gap
sp1351,Calamus yunnanensis,wide-ranged,VU,LC,LC,LC,LC,NT,LC,NT,NT,NT,Gap
sp1352,Calamus yunnanensis var. intermedius,narrow-ranged,VU,LC,LC,LC,LC,LC,LC,EN,EN,NT,Partial gap
sp1353,Callerya bonatiana,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1354,Callerya championii,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1355,Callerya cinerea,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1356,Callerya dielsiana var. herterocarpa,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1357,Callerya dorwardii,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1358,Callerya eurybotrya,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1359,Callerya fordii,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1360,Callerya nitida,wide-ranged,LC,VU,NT,VU,NT,VU,VU,VU,VU,EN,Partial gap
sp1361,Callerya nitida var. hirsutissima,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1362,Callerya nitida var. minor,wide-ranged,LC,LC,LC,NT,LC,NT,NT,NT,EN,VU,Gap
sp1363,Callerya oosperma,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1364,Callerya reticulata,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1365,Callerya reticulata var. stenophylla,wide-ranged,LC,LC,LC,LC,LC,LC,LC,EN,EN,EN,Gap
sp1366,Callerya sericosema,wide-ranged,LC,LC,NT,NT,NT,NT,NT,NT,NT,NT,Partial gap
sp1367,Callerya speciosa,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1368,Calliandra umbrosa,narrow-ranged,CR,LC,LC,LC,LC,LC,LC,NT,NT,VU,Gap
sp1369,Callicarpa acutifolia,wide-ranged,LC,LC,LC,LC,LC,LC,LC,VU,VU,NT,Gap
sp1370,Callicarpa anisophylla,wide-ranged,LC,NT,VU,EN,EN,EN,EN,EN,CR,EN,Gap
sp1371,Callicarpa arborea,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1372,Callicarpa basitruncata,wide-ranged,NT,LC,NT,LC,NT,LC,NT,VU,NT,NT,Gap
sp1373,Callicarpa bodinieri,wide-ranged,LC,NT,NT,NT,NT,NT,NT,NT,NT,VU,Partial gap
sp1374,Callicarpa bodinieri var. iteophylla,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1375,Callicarpa bodinieri var. rosthornii,wide-ranged,DD,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1376,Callicarpa brevipes,wide-ranged,LC,LC,LC,LC,LC,NT,NT,NT,NT,NT,Partial gap
sp1377,Callicarpa candicans,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp1378,Callicarpa cathayana,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp1379,Callicarpa collina,wide-ranged,DD,NT,LC,LC,LC,NT,NT,NT,EN,EN,Gap
