code,Species,Type,Qin,full_rcp26,full_rcp60,full_rcp85,buffer_rcp26,buffer_rcp60,buffer_rcp85,stable_rcp26,stable_rcp60,stable_rcp85,Category
sp75,Acer caesium,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp76,Acer campbellii,wide-ranged,VU,LC,LC,LC,NT,LC,NT,VU,NT,NT,Gap
sp77,Acer campbellii var. serratifolium,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp78,Acer cappadocicum,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp79,Acer cappadocicum ssp. sinicum,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp80,Acer caudatifolium,wide-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp81,Acer caudatum,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp82,Acer ceriferum,wide-ranged,NT,LC,LC,LC,LC,LC,LC,NT,VU,VU,Partial gap
sp83,Acer chienii,wide-ranged,VU,LC,LC,LC,NT,NT,VU,EN,CR,CR,Gap
sp84,Acer chingii,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp85,Acer chunii,narrow-ranged,EN,LC,LC,LC,LC,LC,LC,NT,NT,VU,Partial gap
sp86,Acer confertifolium,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp87,Acer cordatum,wide-ranged,VU,NT,LC,LC,LC,NT,NT,NT,NT,NT,Partial gap
sp88,Acer coriaceifolium,wide-ranged,LC,LC,LC,LC,NT,EN,EN,VU,EN,EN,Gap
sp89,Acer crassum,wide-ranged,VU,LC,VU,VU,CR,LC,EX,CR,EX,NT,Gap
sp90,Acer davidii,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
sp91,Acer davidii ssp. grosseri,wide-ranged,NT,LC,LC,LC,LC,LC,LC,NT,NT,NT,Covered
sp92,Acer duplicatoserratum var. chinense,wide-ranged,LC,NT,LC,LC,LC,NT,LC,NT,NT,VU,Gap
sp93,Acer elegantulum,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,NT,Gap
sp94,Acer erianthum,wide-ranged,LC,LC,LC,LC,LC,LC,LC,NT,NT,VU,Covered
sp95,Acer fabri,wide-ranged,LC,LC,LC,LC,NT,LC,NT,NT,NT,NT,Partial gap
sp96,Acer fenzelianum,narrow-ranged,EN,LC,EX,EX,LC,EX,EX,EX,EX,VU,Gap
sp97,Acer flabellatum,wide-ranged,LC,NT,LC,LC,NT,NT,NT,NT,VU,VU,Covered
sp98,Acer forrestii,wide-ranged,VU,LC,LC,LC,LC,LC,LC,NT,NT,NT,Partial gap
