code,name,Type,Qin
sp2004,Chimonocalamus longiligulatus,narrow-ranged,VU
sp2005,Chimonocalamus montanus,narrow-ranged,VU
sp2006,Chimonocalamus pallens,narrow-ranged,VU
sp2007,Chionanthus brachythyrsus,narrow-ranged,DD
sp2008,Chionanthus guangxiensis,narrow-ranged,LC
sp2011,Chionanthus longiflorus,narrow-ranged,NT
sp2013,Chionanthus ramiflorus var. grandiflorus,narrow-ranged,LC
sp2021,Chonemorpha floccosa,narrow-ranged,VU
sp2035,Cinnamomum austroyunnanense,narrow-ranged,NT
sp2047,Cinnamomum javanicum,narrow-ranged,NT
sp2049,Cinnamomum kotoense,narrow-ranged,CR
sp2058,Cinnamomum osmophloeum,narrow-ranged,VU
sp2064,Cinnamomum reticulatum,narrow-ranged,LC
sp2066,Cinnamomum rufotomentosum,narrow-ranged,VU
sp2074,Cinnamomum tsoi,narrow-ranged,NT
sp2081,Cissus austroyunnanensis,narrow-ranged,LC
sp2086,Cissus repanda var. subferruginea,narrow-ranged,LC
sp2095,Cladrastis parvifolia,narrow-ranged,EN
sp2099,Claoxylon brachyandrum,narrow-ranged,LC
sp2110,Clausena odorata,narrow-ranged,NT
sp2113,Clausena yunnanensis var. longgangensis,narrow-ranged,DD
sp2118,Cleistanthus macrophyllus,narrow-ranged,LC
sp2119,Cleistanthus pedicellatus,narrow-ranged,LC
sp2122,Cleistanthus tomentosus,narrow-ranged,NT
sp2127,Clematis alternata,narrow-ranged,NT
sp2130,Clematis baominiana,narrow-ranged,LC
sp2132,Clematis brevipes,narrow-ranged,LC
sp2134,Clematis caudigera,narrow-ranged,DD
sp2135,Clematis chekiangensis,narrow-ranged,LC
sp2137,Clematis chinensis var. anhweiensis,narrow-ranged,LC
sp2163,Clematis gracilifolia var. macrantha,narrow-ranged,LC
sp2167,Clematis grewiiflora,narrow-ranged,LC
sp2175,Clematis jingdungensis,narrow-ranged,LC
sp2176,Clematis jinzhaiensis,narrow-ranged,DD
sp2182,Clematis lancifolia var. ternata,narrow-ranged,DD
sp2183,Clematis laxistrigosa,narrow-ranged,DD
sp2185,Clematis longistyla,narrow-ranged,LC
sp2187,Clematis macropetala var. albiflora,narrow-ranged,LC
sp2188,Clematis mashanensis,narrow-ranged,DD
sp2189,Clematis menglaensis,narrow-ranged,LC
sp2206,Clematis pianmaensis,narrow-ranged,DD
sp2209,Clematis pseudootophora,narrow-ranged,LC
sp2211,Clematis psilandra,narrow-ranged,LC
sp2231,Clematis tsugetorum,narrow-ranged,LC
sp2239,Clematis yuanjiangensis,narrow-ranged,LC
sp2247,Clerodendrum bungei var. megacalyx,narrow-ranged,DD
sp2250,Clerodendrum confine,narrow-ranged,LC
sp2252,Clerodendrum ervatamioides,narrow-ranged,LC
sp2259,Clerodendrum intermedium,narrow-ranged,LC
sp2272,Clerodendrum subscaposum,narrow-ranged,LC
sp2283,Clethra petelotii,narrow-ranged,CR
sp2290,Cleyera obscurinervia,narrow-ranged,LC
sp2293,Cleyera yangchunensis,narrow-ranged,CR
sp2297,Cnesmone mairei,narrow-ranged,LC
sp2299,Cnestis palala,narrow-ranged,LC
sp2303,Coleus xanthanthus,narrow-ranged,LC
sp2332,Cordia cochinchinensis,narrow-ranged,LC
sp2336,Corethrodendron fruticosum var. mongolicum,narrow-ranged,LC
sp2358,Cornus koehneana,narrow-ranged,LC
sp2367,Cornus oligophlebia,narrow-ranged,LC
sp2368,Cornus papillosa,narrow-ranged,LC
sp2380,Corylopsis henryi,narrow-ranged,LC
sp2386,Corylopsis pauciflora,narrow-ranged,DD
sp2392,Corylopsis trabeculosa,narrow-ranged,EN
sp2422,Cotoneaster chengkangensis,narrow-ranged,DD
sp2457,Cotoneaster nitidifolius,narrow-ranged,DD
sp2462,Cotoneaster reticulatus,narrow-ranged,NT
sp2468,Cotoneaster salicifolius var. angustus,narrow-ranged,LC
sp2470,Cotoneaster schantungensis,narrow-ranged,VU
sp2474,Cotoneaster soongoricus var. microcarpus,narrow-ranged,NT
sp2515,Croton chunianus,narrow-ranged,LC
sp2524,Croton laniflorus,narrow-ranged,LC
sp2526,Croton mangelong,narrow-ranged,NT
sp2542,Cryptocarya elliptifolia,narrow-ranged,CR
sp2544,Cryptocarya leiana,narrow-ranged,VU
sp2545,Cryptocarya lyoniifolia,narrow-ranged,LC
sp2547,Cryptocarya maculata,narrow-ranged,VU
sp2556,Cupressus chengiana var. jiangeensis,narrow-ranged,CR
sp2563,Cycas changjiangensis,narrow-ranged,CR
sp2569,Cycas multipinnata,narrow-ranged,EN
sp2577,Cyclea debiliflora,narrow-ranged,LC
sp2580,Cyclea longgangensis,narrow-ranged,LC
sp2583,Cyclobalanopsis albicaulis,narrow-ranged,CR
sp2584,Cyclobalanopsis annulata,narrow-ranged,LC
sp2585,Cyclobalanopsis argyrotricha,narrow-ranged,EN
sp2588,Cyclobalanopsis austroglauca,narrow-ranged,EN
sp2593,Cyclobalanopsis chingsiensis,narrow-ranged,LC
sp2598,Cyclobalanopsis edithiae,narrow-ranged,NT
sp2607,Cyclobalanopsis hypophaea,narrow-ranged,NT
sp2609,Cyclobalanopsis jinpinensis,narrow-ranged,CR
sp2614,Cyclobalanopsis litoralis,narrow-ranged,LC
sp2615,Cyclobalanopsis litseoides,narrow-ranged,DD
sp2627,Cyclobalanopsis pentacycla,narrow-ranged,LC
sp2628,Cyclobalanopsis phanera,narrow-ranged,LC
sp2629,Cyclobalanopsis poilanei,narrow-ranged,LC
sp2631,Cyclobalanopsis saravanensis,narrow-ranged,DD
sp2637,Cyclobalanopsis tenuicupula,narrow-ranged,CR
sp2639,Cyclobalanopsis tomentosinervis,narrow-ranged,LC
sp2641,Cyclobalanopsis yingjiangensis,narrow-ranged,VU
sp2642,Cyclobalanopsis yonganensis,narrow-ranged,LC
sp2645,Cypholophus moluccanus,narrow-ranged,LC
sp2647,Cyrtandra umbellifera,narrow-ranged,LC
sp2665,Dalbergia jingxiensis,narrow-ranged,DD
sp2671,Dalbergia peishaensis,narrow-ranged,VU
sp2683,Damnacanthus hainanensis,narrow-ranged,NT
sp2687,Damnacanthus major,narrow-ranged,VU
sp2693,Daphne axillaris,narrow-ranged,VU
sp2695,Daphne bholua var. glacialis,narrow-ranged,LC
sp2696,Daphne brevituba,narrow-ranged,EN
sp2698,Daphne depauperata,narrow-ranged,VU
sp2699,Daphne emeiensis,narrow-ranged,VU
sp2705,Daphne gracilis,narrow-ranged,VU
sp2709,Daphne jinzhaiensis,narrow-ranged,LC
sp2711,Daphne leishanensis,narrow-ranged,LC
sp2713,Daphne longituba,narrow-ranged,NT
sp2725,Daphne tripartita,narrow-ranged,LC
sp2726,Daphne xichouensis,narrow-ranged,NT
sp2727,Daphne yunnanensis,narrow-ranged,LC
sp2746,Decaspermum albociliatum,narrow-ranged,VU
sp2747,Decaspermum austrohainanicum,narrow-ranged,CR
sp2752,Decaspermum teretis,narrow-ranged,LC
sp2756,Dehaasia incrassata,narrow-ranged,LC
sp2770,Dendrocalamus jianshuiensis,narrow-ranged,DD
sp2784,Dendrocnide stimulans,narrow-ranged,LC
sp2786,Dendrolobium dispermum,narrow-ranged,EN
sp2800,Dendrotrophe platyphylla,narrow-ranged,LC
sp2802,Dendrotrophe umbellata,narrow-ranged,LC
sp2805,Derris breviramosa,narrow-ranged,NT
sp2812,Derris harrowiana,narrow-ranged,NT
sp2815,Derris palmifolia,narrow-ranged,CR
