code,name,Type,Qin
sp72,Acer buergerianum,wide-ranged,EN
sp73,Acer buergerianum var. kaiscianense,wide-ranged,LC
sp75,Acer caesium,wide-ranged,LC
sp76,Acer campbellii,wide-ranged,VU
sp77,Acer campbellii var. serratifolium,wide-ranged,LC
sp78,Acer cappadocicum,wide-ranged,VU
sp79,Acer cappadocicum ssp. sinicum,wide-ranged,LC
sp80,Acer caudatifolium,wide-ranged,NT
sp81,Acer caudatum,wide-ranged,LC
sp82,Acer ceriferum,wide-ranged,NT
sp83,Acer chienii,wide-ranged,VU
sp84,Acer chingii,wide-ranged,LC
sp86,Acer confertifolium,wide-ranged,VU
sp87,Acer cordatum,wide-ranged,VU
sp88,Acer coriaceifolium,wide-ranged,LC
sp89,Acer crassum,wide-ranged,VU
sp90,Acer davidii,wide-ranged,VU
sp91,Acer davidii ssp. grosseri,wide-ranged,NT
sp92,Acer duplicatoserratum var. chinense,wide-ranged,LC
sp93,Acer elegantulum,wide-ranged,LC
sp94,Acer erianthum,wide-ranged,LC
sp95,Acer fabri,wide-ranged,LC
sp97,Acer flabellatum,wide-ranged,LC
sp98,Acer forrestii,wide-ranged,VU
sp99,Acer fulvescens,wide-ranged,VU
sp101,Acer griseum,wide-ranged,VU
sp102,Acer henryi,wide-ranged,LC
sp104,Acer komarovii,wide-ranged,VU
sp105,Acer kungshanense,wide-ranged,EN
sp106,Acer kwangnanense,wide-ranged,VU
sp107,Acer kweilinense,wide-ranged,LC
sp108,Acer laevigatum,wide-ranged,VU
sp109,Acer laevigatum var. salweenense,wide-ranged,LC
sp110,Acer laurinum,wide-ranged,LC
sp111,Acer laxiflorum,wide-ranged,NT
sp112,Acer leipoense,wide-ranged,EN
sp113,Acer linganense,wide-ranged,VU
sp114,Acer longipes,wide-ranged,LC
sp115,Acer lucidum,wide-ranged,LC
sp116,Acer lungshengense,wide-ranged,LC
sp117,Acer mandshuricum,wide-ranged,VU
sp118,Acer maximowiczii,wide-ranged,LC
sp119,Acer metcalfii,wide-ranged,LC
sp120,Acer miaoshanicum,wide-ranged,LC
sp121,Acer miaotaiense,wide-ranged,VU
sp122,Acer morrisonense,wide-ranged,VU
sp123,Acer nikoense,wide-ranged,NT
sp124,Acer oblongum,wide-ranged,VU
sp126,Acer oligocarpum,wide-ranged,EN
sp127,Acer oliverianum,wide-ranged,LC
sp128,Acer palmatum,wide-ranged,VU
sp129,Acer pauciflorum,wide-ranged,VU
sp130,Acer paxii,wide-ranged,NT
sp131,Acer pectinatum,wide-ranged,EN
sp132,Acer pectinatum ssp. taronense,wide-ranged,LC
sp133,Acer pentaphyllum,wide-ranged,VU
sp134,Acer pictum ssp. macropterum,wide-ranged,LC
sp135,Acer pictum ssp. mono,wide-ranged,LC
sp137,Acer pictum ssp. tricuspis,wide-ranged,LC
sp139,Acer pilosum var. stenolobum,wide-ranged,LC
sp140,Acer pinnatinervium,wide-ranged,LC
sp142,Acer pseudosieboldianum,wide-ranged,LC
sp143,Acer pubinerve,wide-ranged,LC
sp144,Acer pubipetiolatum,wide-ranged,VU
sp145,Acer pubipetiolatum var. pingpienense,wide-ranged,LC
sp146,Acer shenkanense,wide-ranged,LC
sp147,Acer sikkimense,wide-ranged,VU
sp148,Acer sinense,wide-ranged,LC
sp149,Acer sino-oblongum,wide-ranged,EN
sp150,Acer sinopurpurascens,wide-ranged,LC
sp151,Acer stachyophyllum,wide-ranged,VU
sp152,Acer stachyophyllum ssp. betulifolium,wide-ranged,LC
sp153,Acer sterculiaceum,wide-ranged,VU
sp154,Acer sterculiaceum ssp. franchetii,wide-ranged,LC
sp155,Acer sutchuenense,wide-ranged,EN
sp156,Acer sycopseoides,wide-ranged,LC
sp157,Acer tataricum ssp. ginnala,wide-ranged,LC
sp158,Acer tataricum ssp. semenovii,wide-ranged,LC
sp159,Acer tataricum ssp. theiferum,wide-ranged,LC
sp160,Acer tegmentosum,wide-ranged,NT
sp163,Acer thomsonii,wide-ranged,VU
sp164,Acer tibetense,wide-ranged,EN
sp165,Acer tonkinense,wide-ranged,LC
sp166,Acer triflorum,wide-ranged,NT
sp167,Acer truncatum,wide-ranged,LC
sp168,Acer tsinglingense,wide-ranged,VU
sp169,Acer tutcheri,wide-ranged,VU
sp170,Acer ukurunduense,wide-ranged,NT
sp171,Acer wangchii,wide-ranged,VU
sp172,Acer wardii,wide-ranged,EN
sp173,Acer wilsonii,wide-ranged,LC
sp175,Acidosasa chienouensis,wide-ranged,LC
sp177,Acidosasa nanunica,wide-ranged,LC
sp178,Acidosasa notata,wide-ranged,LC
sp179,Acidosasa purpurea,wide-ranged,LC
sp180,Acrocarpus fraxinifolius,wide-ranged,VU
sp181,Acronychia pedunculata,wide-ranged,LC
sp182,Actephila excelsa,wide-ranged,LC
sp183,Actephila merrilliana,wide-ranged,LC
sp184,Actinidia arguta,wide-ranged,LC
sp186,Actinidia chengkouensis,wide-ranged,EN
sp187,Actinidia chinensis,wide-ranged,VU
